Physician,DiagnosisGroupCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PHY311276,394,1,1068.0,6000
PHY311280,256,1,1068.0,5000
PHY311309,252,1,1068.0,13000
PHY311311,092,1,1068.0,8000
PHY311311,342,2,2136.0,10000
PHY311314,293,1,1068.0,7000
PHY311325,303,2,2136.0,16000
PHY311333,072,1,1068.0,9000
PHY311350,190,1,1068.0,5000
PHY311350,517,1,1068.0,12000
PHY311351,000,1,1068.0,0
PHY311351,085,1,1068.0,5000
PHY311376,098,1,1068.0,7000
PHY311376,251,1,1068.0,22000
PHY311396,180,1,1068.0,6000
PHY311399,165,1,1068.0,9000
PHY311399,200,1,1068.0,6000
PHY311399,235,1,1068.0,39000
PHY311399,262,1,1068.0,6000
PHY311399,622,1,1068.0,11000
PHY311399,659,1,1068.0,3000
PHY311399,914,1,1068.0,21000
PHY311401,432,1,1068.0,11000
PHY311404,547,1,1068.0,13000
PHY311435,056,1,1068.0,8000
PHY311435,190,2,2136.0,30000
PHY311435,226,2,2136.0,28000
PHY311435,229,1,1068.0,10000
PHY311435,456,1,1068.0,11000
PHY311440,951,1,1068.0,5000
PHY311447,055,1,1068.0,4000
PHY311447,085,1,1068.0,42000
PHY311447,180,1,1068.0,7000
PHY311447,224,1,1068.0,9000
PHY311447,231,1,1068.0,5000
PHY311447,241,1,1068.0,3000
PHY311447,454,1,1068.0,12000
PHY311447,464,1,1068.0,11000
PHY311447,537,1,1068.0,4000
PHY311447,667,1,1068.0,4000
PHY311447,809,1,1068.0,8000
PHY311450,285,1,1068.0,48000
PHY311456,894,1,1068.0,4000
PHY311460,876,1,1068.0,12000
PHY311461,198,1,1068.0,4000
PHY311461,208,1,1068.0,3000
PHY311469,000,1,1068.0,0
PHY311469,060,1,1068.0,4000
PHY311469,183,1,1068.0,7000
PHY311469,184,1,1068.0,11000
PHY311469,232,1,1068.0,12000
PHY311469,308,1,1068.0,6000
PHY311469,351,1,1068.0,12000
PHY311469,352,1,1068.0,13000
PHY311470,089,1,1068.0,8000
PHY311470,191,1,1068.0,8000
PHY311470,193,1,1068.0,6000
PHY311470,264,1,1068.0,8000
PHY311470,299,1,1068.0,2000
PHY311470,302,2,2136.0,12000
PHY311470,305,1,1068.0,5000
PHY311470,373,2,2136.0,8000
PHY311470,624,1,1068.0,3000
PHY311470,639,1,1068.0,22000
PHY311470,674,1,1068.0,3000
PHY311470,684,1,1068.0,3000
PHY311470,856,1,1068.0,0
PHY311473,467,1,1068.0,5000
PHY311482,835,1,1068.0,13000
PHY311486,202,1,1068.0,13000
PHY311486,867,2,2136.0,18000
PHY311486,902,1,1068.0,5000
PHY311500,347,1,1068.0,10000
PHY311502,809,1,1068.0,3000
PHY311503,351,1,1068.0,9000
PHY311505,179,1,0.0,0
PHY311506,264,1,1068.0,13000
PHY311510,056,1,1068.0,7000
PHY311510,259,1,1068.0,25000
PHY311510,592,1,1068.0,4000
PHY311523,146,1,1068.0,12000
PHY311523,204,1,1068.0,12000
PHY311523,264,1,1068.0,21000
PHY311523,370,1,1068.0,6000
PHY311523,478,1,1068.0,12000
PHY311523,623,1,1068.0,6000
PHY311527,167,2,2136.0,18000
PHY311527,198,1,1068.0,8000
PHY311527,376,2,2136.0,8000
PHY311527,466,2,2136.0,12000
PHY311527,553,2,2136.0,18000
PHY311535,059,1,1068.0,5000
PHY311540,240,1,1068.0,7000
PHY311554,150,1,1068.0,2000
PHY311554,561,2,2136.0,20000
PHY311554,653,1,1068.0,8000
PHY311554,659,1,1068.0,10000
PHY311554,689,1,1068.0,6000
PHY311554,887,1,1068.0,16000
PHY311561,870,1,1068.0,3000
PHY311562,497,1,1068.0,11000
PHY311565,062,1,1068.0,4000
PHY311565,464,1,1068.0,15000
PHY311565,473,1,1068.0,13000
PHY311588,201,1,1068.0,4000
PHY311591,312,1,1068.0,83000
PHY311608,331,1,1068.0,9000
PHY311608,380,1,1068.0,8000
PHY311608,395,1,1068.0,700
PHY311622,166,1,1068.0,9000
PHY311622,234,1,1068.0,57000
PHY311624,133,1,1068.0,4000
PHY311624,188,1,1068.0,9000
PHY311624,219,1,1068.0,4000
PHY311624,291,1,1068.0,6000
PHY311624,326,1,1068.0,3000
PHY311626,248,1,1068.0,9000
PHY311627,294,1,1068.0,6000
PHY311630,294,1,1068.0,7000
PHY311630,514,1,1068.0,6000
PHY311630,713,1,1068.0,7000
PHY311630,977,1,1068.0,9000
PHY311637,305,1,1068.0,4000
PHY311638,337,1,1068.0,5000
PHY311639,950,1,1068.0,16000
PHY311640,038,1,1068.0,4000
PHY311644,061,1,1068.0,0
PHY311652,238,1,1068.0,16000
PHY311652,553,1,1068.0,9000
PHY311652,561,1,1068.0,8000
PHY311652,658,1,1068.0,8000
PHY311655,377,1,0.0,14000
PHY311668,534,1,1068.0,8000
PHY311672,168,1,0.0,7000
PHY311672,294,1,1068.0,2000
PHY311678,443,1,1068.0,6000
PHY311680,384,1,1068.0,9000
PHY311690,474,1,1068.0,10000
PHY311695,022,1,1068.0,3000
PHY311698,226,1,1068.0,14000
PHY311698,312,1,1068.0,2000
PHY311698,533,1,1068.0,14000
PHY311698,617,1,1068.0,0
PHY311698,645,1,1068.0,5000
PHY311698,675,1,1068.0,5000
PHY311698,988,1,1068.0,26000
PHY311710,222,1,1068.0,17000
PHY311717,226,1,1068.0,20000
PHY311737,176,1,0.0,8000
PHY311737,196,1,1068.0,7000
PHY311737,282,1,1068.0,11000
PHY311752,534,1,1068.0,16000
PHY311753,246,1,1068.0,10000
PHY311755,053,1,1068.0,8400
PHY311755,167,1,1068.0,7000
PHY311755,177,1,1068.0,5000
PHY311755,198,1,1068.0,4000
PHY311755,199,1,1068.0,8000
PHY311755,458,1,1068.0,9000
PHY311755,500,1,1068.0,5000
PHY311755,583,1,1068.0,5000
PHY311755,645,1,1068.0,1000
PHY311755,682,1,1068.0,5000
PHY311755,883,1,1068.0,2000
PHY311763,163,1,1068.0,38000
PHY311763,178,1,1068.0,7000
PHY311764,087,2,2136.0,10000
PHY311767,239,1,1068.0,3000
PHY311768,190,2,2136.0,10000
PHY311769,305,1,1068.0,0
PHY311769,460,1,1068.0,4000
PHY311769,940,1,1068.0,31000
PHY311770,304,1,1068.0,11000
PHY311770,390,1,1068.0,6000
PHY311772,166,1,1068.0,11000
PHY311772,294,1,1068.0,16000
PHY311773,440,1,1068.0,5000
PHY311773,740,1,1068.0,4000
PHY311778,368,1,1068.0,8000
PHY311778,417,1,1068.0,9000
PHY311778,421,1,1068.0,3000
PHY311778,638,1,1068.0,6000
PHY311783,557,1,1068.0,12000
PHY311786,884,1,1068.0,8000
PHY311791,025,1,1068.0,3000
PHY311791,185,1,1068.0,5000
PHY311791,206,1,1068.0,6000
PHY311791,244,1,1068.0,4000
PHY311791,547,1,1068.0,14000
PHY311800,085,2,2136.0,22000
PHY311800,180,1,1068.0,6000
PHY311800,189,1,1068.0,6000
PHY311800,542,1,1068.0,5000
PHY311800,853,1,1068.0,10000
PHY311808,749,1,1068.0,4000
PHY311819,281,1,1068.0,23000
PHY311819,390,1,1068.0,32000
PHY311821,025,1,1068.0,4000
PHY311821,085,1,1068.0,58000
PHY311832,315,1,1068.0,12000
PHY311832,512,1,1068.0,16000
PHY311832,694,1,1068.0,14000
PHY311834,035,1,1068.0,5000
PHY311835,478,1,1068.0,10000
PHY311843,380,1,1068.0,8000
PHY311843,826,1,1068.0,5000
PHY311846,234,2,2136.0,10000
PHY311859,028,1,1068.0,17000
PHY311860,509,1,1068.0,14000
PHY311860,692,1,1068.0,6000
PHY311868,236,1,1068.0,3000
PHY311868,515,1,1068.0,16000
PHY311868,619,1,1068.0,0
PHY311885,509,1,1068.0,10000
PHY311891,533,1,1068.0,4000
PHY311893,379,1,1068.0,5000
PHY311900,456,1,1068.0,15000
PHY311916,340,1,1068.0,15000
PHY311933,188,1,1068.0,14000
PHY311942,303,1,1068.0,21000
PHY311963,356,1,1068.0,27000
PHY311965,077,1,1068.0,6000
PHY311976,734,1,1068.0,6000
PHY311977,894,1,1068.0,7000
PHY311979,836,1,1068.0,3000
PHY311982,694,1,1068.0,4000
PHY311986,538,2,2136.0,38000
PHY311987,556,1,1068.0,13000
PHY311987,885,1,1068.0,9000
PHY311999,009,1,1068.0,57000
PHY312004,204,2,2136.0,70000
PHY312004,593,1,1068.0,3000
PHY312008,247,1,1068.0,4000
PHY312008,371,1,1068.0,9000
PHY312009,250,1,1068.0,25000
PHY312011,533,1,1068.0,3000
PHY312014,095,1,1068.0,11000
PHY312014,255,1,0.0,29000
PHY312014,329,1,1068.0,11000
PHY312014,564,1,1068.0,14000
PHY312014,565,1,1068.0,7000
PHY312014,598,1,1068.0,4000
PHY312014,645,1,1068.0,11000
PHY312014,692,1,1068.0,7000
PHY312025,251,1,1068.0,4000
PHY312027,383,1,1068.0,15000
PHY312038,194,1,1068.0,3000
PHY312039,551,1,1068.0,16000
PHY312045,009,1,1068.0,57000
PHY312045,177,2,2136.0,15000
PHY312045,206,1,1068.0,6000
PHY312045,240,1,1068.0,10000
PHY312045,241,1,1068.0,57000
PHY312045,292,2,2136.0,10000
PHY312045,335,1,1068.0,5000
PHY312045,493,2,2136.0,22000
PHY312045,669,1,1068.0,11000
PHY312045,803,1,1068.0,4000
PHY312045,853,2,2136.0,40000
PHY312045,864,1,1068.0,9000
PHY312045,949,2,2136.0,12000
PHY312051,223,1,1068.0,7000
PHY312068,700,1,1068.0,18000
PHY312070,300,1,1068.0,900
PHY312070,699,1,1068.0,8000
PHY312070,883,1,1068.0,8000
PHY312071,028,1,1068.0,5000
PHY312071,029,1,1068.0,8000
PHY312071,091,1,1068.0,6000
PHY312071,202,2,2136.0,54000
PHY312071,251,2,2136.0,39000
PHY312071,284,1,1068.0,3000
PHY312071,291,1,1068.0,24000
PHY312071,299,1,1068.0,10000
PHY312071,331,1,1068.0,1000
PHY312071,374,1,1068.0,7000
PHY312071,376,1,1068.0,13000
PHY312071,478,1,1068.0,11000
PHY312071,512,1,1068.0,20000
PHY312071,542,1,1068.0,14000
PHY312071,714,1,1068.0,11000
PHY312071,855,1,1068.0,9000
PHY312075,562,1,1068.0,14000
PHY312075,642,1,0.0,5000
PHY312090,204,2,2136.0,22000
PHY312090,OTH,2,2136.0,0
PHY312104,075,1,1068.0,10000
PHY312104,094,1,1068.0,9000
PHY312104,130,1,1068.0,4000
PHY312104,165,1,1068.0,16000
PHY312104,176,1,1068.0,9000
PHY312104,193,1,1068.0,3000
PHY312104,250,1,1068.0,6000
PHY312104,313,1,1068.0,4000
PHY312104,395,1,1068.0,8000
PHY312104,462,1,1068.0,17000
PHY312104,622,1,1068.0,6000
PHY312104,667,1,1068.0,7000
PHY312104,866,1,1068.0,4000
PHY312104,914,1,1068.0,4000
PHY312104,923,1,1068.0,20000
PHY312106,280,1,1068.0,3000
PHY312106,674,1,1068.0,20000
PHY312106,908,1,1068.0,57000
PHY312114,091,1,1068.0,6000
PHY312120,327,1,1068.0,10000
PHY312126,180,1,1068.0,4000
PHY312157,345,1,1068.0,6000
PHY312157,453,2,2136.0,14000
PHY312157,625,1,1068.0,4000
PHY312157,880,1,1068.0,15000
PHY312181,185,1,1068.0,13000
PHY312181,326,1,1068.0,1000
PHY312181,472,1,1068.0,10000
PHY312185,205,1,1068.0,5000
PHY312185,222,1,1068.0,25000
PHY312185,340,1,1068.0,9000
PHY312185,341,1,1068.0,3000
PHY312185,537,1,1068.0,6000
PHY312185,755,1,1068.0,17000
PHY312189,390,1,1068.0,6000
PHY312189,504,1,1068.0,21000
PHY312191,232,1,1068.0,12000
PHY312195,183,1,1068.0,20000
PHY312200,491,1,1068.0,6000
PHY312208,000,1,1068.0,34000
PHY312208,052,1,1068.0,14000
PHY312208,165,1,1068.0,10000
PHY312208,491,1,1068.0,11000
PHY312208,728,1,1068.0,4000
PHY312208,895,1,1068.0,4000
PHY312209,094,1,1068.0,11000
PHY312214,224,1,1068.0,12000
PHY312223,536,1,1068.0,0
PHY312234,198,1,1068.0,6000
PHY312234,537,1,1068.0,57000
PHY312240,284,1,1068.0,4000
PHY312240,560,1,1068.0,11000
PHY312240,858,1,1068.0,9000
PHY312240,869,1,1068.0,6000
PHY312248,175,2,2136.0,34000
PHY312248,502,1,1068.0,22000
PHY312257,887,1,1068.0,20000
PHY312264,672,1,1068.0,9000
PHY312280,627,1,1068.0,6000
PHY312280,949,1,1068.0,3000
PHY312286,394,1,1068.0,8000
PHY312289,195,1,1068.0,4000
PHY312289,226,1,1068.0,14000
PHY312289,250,1,1068.0,12000
PHY312289,461,1,1068.0,10000
PHY312289,493,2,2136.0,21000
PHY312289,638,1,1068.0,7000
PHY312289,693,1,1068.0,4000
PHY312289,759,1,1068.0,6000
PHY312290,353,1,1068.0,4000
PHY312292,028,1,1068.0,53000
PHY312292,053,1,1068.0,20000
PHY312292,064,1,1068.0,4000
PHY312292,179,1,1068.0,6000
PHY312292,191,1,0.0,6000
PHY312292,199,1,1068.0,5000
PHY312292,229,2,2136.0,16000
PHY312292,246,1,1068.0,20000
PHY312292,286,1,1068.0,7000
PHY312292,290,1,1068.0,6000
PHY312292,291,1,1068.0,43000
PHY312292,293,1,1068.0,17000
PHY312292,302,1,1068.0,8000
PHY312292,313,2,2136.0,25000
PHY312292,327,1,1068.0,14000
PHY312292,329,1,1068.0,8000
PHY312292,340,1,1068.0,16000
PHY312292,348,1,1068.0,19000
PHY312292,355,1,1068.0,6000
PHY312292,356,1,1068.0,3000
PHY312292,358,1,1068.0,5000
PHY312292,379,1,1068.0,14000
PHY312292,383,1,1068.0,9000
PHY312292,388,1,1068.0,6000
PHY312292,410,1,1068.0,10000
PHY312292,411,1,1068.0,8000
PHY312292,444,1,1068.0,7000
PHY312292,466,1,1068.0,13000
PHY312292,495,1,1068.0,9000
PHY312292,509,1,1068.0,31000
PHY312292,535,1,1068.0,10000
PHY312292,601,1,1068.0,4000
PHY312292,623,1,1068.0,7000
PHY312292,645,1,1068.0,24000
PHY312292,657,1,1068.0,5000
PHY312292,685,1,1068.0,4000
PHY312292,710,1,1068.0,12000
PHY312292,713,1,1068.0,6000
PHY312292,808,1,1068.0,2000
PHY312292,809,1,1068.0,5000
PHY312292,810,1,1068.0,5000
PHY312292,863,1,1068.0,38000
PHY312295,948,2,2136.0,62000
PHY312296,391,1,1068.0,19000
PHY312304,293,1,1068.0,21000
PHY312307,070,1,1068.0,8000
PHY312314,478,1,1068.0,4000
PHY312323,227,1,1068.0,17000
PHY312323,229,2,2136.0,16000
PHY312323,260,1,1068.0,5000
PHY312323,304,1,1068.0,3000
PHY312323,308,2,2136.0,36000
PHY312323,315,1,1068.0,39000
PHY312323,353,1,1068.0,5000
PHY312323,555,1,1068.0,5000
PHY312336,080,1,1068.0,4000
PHY312336,405,1,1068.0,6000
PHY312336,550,1,1068.0,12000
PHY312336,556,1,1068.0,5000
PHY312337,442,1,1068.0,11000
PHY312348,175,2,2136.0,74000
PHY312348,203,1,1068.0,46000
PHY312348,207,1,1068.0,5000
PHY312348,251,1,1068.0,4000
PHY312348,263,1,1068.0,7000
PHY312348,627,1,1068.0,8000
PHY312348,854,1,1068.0,11000
PHY312358,986,1,1068.0,34000
PHY312362,224,1,1068.0,27000
PHY312365,562,1,1068.0,19000
PHY312392,230,1,1068.0,27000
PHY312407,302,1,1068.0,5000
PHY312407,338,1,1068.0,10000
PHY312407,356,1,1068.0,10000
PHY312407,494,1,1068.0,0
PHY312407,566,1,1068.0,16000
PHY312407,717,1,1068.0,11000
PHY312407,939,1,1068.0,30000
PHY312407,941,1,1068.0,16000
PHY312410,341,1,1068.0,10000
PHY312412,416,1,1068.0,12000
PHY312418,951,1,1068.0,16000
PHY312420,206,1,1068.0,9000
PHY312420,229,1,1068.0,6000
PHY312420,251,2,2136.0,30000
PHY312420,281,1,1068.0,9000
PHY312420,310,1,1068.0,4000
PHY312420,485,1,1068.0,25000
PHY312420,516,2,2136.0,16000
PHY312420,582,1,1068.0,4000
PHY312420,602,1,1068.0,5000
PHY312420,621,1,1068.0,500
PHY312420,652,1,1068.0,4000
PHY312420,950,1,1068.0,9000
PHY312420,989,2,2136.0,36000
PHY312430,022,1,1068.0,6000
PHY312430,190,1,1068.0,5000
PHY312430,224,1,1068.0,6000
PHY312430,253,2,2136.0,24000
PHY312430,302,1,1068.0,5000
PHY312430,303,1,1068.0,9000
PHY312430,349,1,1068.0,6000
PHY312430,422,1,1068.0,12000
PHY312430,585,2,2136.0,10000
PHY312430,661,1,1068.0,8000
PHY312440,341,1,1068.0,6000
PHY312443,557,1,1068.0,19000
PHY312462,198,1,1068.0,6000
PHY312462,300,2,2136.0,12000
PHY312495,000,2,2136.0,0
PHY312495,021,2,2136.0,12000
PHY312495,200,1,1068.0,5000
PHY312495,205,2,2136.0,14000
PHY312495,215,1,1068.0,3000
PHY312495,224,1,1068.0,4000
PHY312495,238,2,2136.0,10000
PHY312495,256,2,2136.0,16000
PHY312495,328,1,1068.0,9000
PHY312495,375,1,1068.0,4000
PHY312495,444,2,2136.0,18000
PHY312495,534,1,1068.0,5000
PHY312495,637,1,1068.0,4000
PHY312495,660,1,1068.0,8000
PHY312495,750,2,2136.0,22000
PHY312495,858,1,1068.0,16000
PHY312495,867,1,0.0,10000
PHY312495,880,1,1068.0,17000
PHY312495,885,1,1068.0,14000
PHY312495,948,2,2136.0,38000
PHY312499,284,1,1068.0,4000
PHY312514,870,1,1068.0,5000
PHY312514,948,2,2136.0,24000
PHY312520,314,1,1068.0,9000
PHY312526,092,1,1068.0,8000
PHY312533,385,1,1068.0,4000
PHY312533,541,1,1068.0,10000
PHY312545,353,2,2136.0,28000
PHY312545,540,1,1068.0,10000
PHY312545,643,1,1068.0,3000
PHY312562,542,2,2136.0,8000
PHY312572,853,1,1068.0,9000
PHY312578,299,1,1068.0,0
PHY312578,565,1,1068.0,14000
PHY312579,164,1,1068.0,9000
PHY312584,855,1,1068.0,16000
PHY312586,287,1,1068.0,3000
PHY312586,696,1,1068.0,7000
PHY312587,297,1,1068.0,15000
PHY312598,514,1,1068.0,15000
PHY312600,315,1,1068.0,7000
PHY312600,618,1,1068.0,6000
PHY312612,053,1,1068.0,6000
PHY312613,292,1,1068.0,5000
PHY312613,455,1,1068.0,3000
PHY312617,885,1,1068.0,14000
PHY312620,230,1,1068.0,8000
PHY312626,219,1,1068.0,5000
PHY312626,546,1,1068.0,12000
PHY312630,264,1,1068.0,17000
PHY312630,327,1,1068.0,4000
PHY312631,034,1,1068.0,9000
PHY312631,191,2,0.0,20000
PHY312631,259,2,2136.0,22000
PHY312631,302,1,1068.0,5000
PHY312631,472,2,2136.0,10000
PHY312631,562,1,1068.0,24000
PHY312631,668,1,1068.0,4000
PHY312632,164,1,1068.0,9000
PHY312637,186,1,1068.0,5000
PHY312648,010,1,1068.0,86000
PHY312648,034,1,1068.0,4000
PHY312648,037,2,2136.0,10000
PHY312648,071,1,1068.0,5000
PHY312648,096,1,1068.0,15000
PHY312648,191,1,1068.0,8000
PHY312648,193,1,1068.0,5000
PHY312648,195,1,1068.0,11000
PHY312648,198,1,0.0,20000
PHY312648,201,1,1068.0,3000
PHY312648,204,1,1068.0,5000
PHY312648,206,1,1068.0,34000
PHY312648,215,1,1068.0,6000
PHY312648,217,1,1068.0,6000
PHY312648,219,1,1068.0,13000
PHY312648,234,3,3204.0,16000
PHY312648,238,2,2136.0,9000
PHY312648,242,1,1068.0,7000
PHY312648,251,1,1068.0,4000
PHY312648,256,2,2136.0,5000
PHY312648,261,1,1068.0,6000
PHY312648,289,1,1068.0,4000
PHY312648,298,1,0.0,15000
PHY312648,305,1,1068.0,6000
PHY312648,306,1,1068.0,19000
PHY312648,310,1,1068.0,2000
PHY312648,313,2,2136.0,76000
PHY312648,333,1,1068.0,11000
PHY312648,334,1,1068.0,5000
PHY312648,338,2,2136.0,10000
PHY312648,340,1,1068.0,3000
PHY312648,346,1,1068.0,8000
PHY312648,381,1,1068.0,3000
PHY312648,411,2,2136.0,12000
PHY312648,484,1,1068.0,17000
PHY312648,492,1,1068.0,10000
PHY312648,499,1,1068.0,14000
PHY312648,534,2,2136.0,38000
PHY312648,535,1,1068.0,5000
PHY312648,616,1,1068.0,3000
PHY312648,626,1,1068.0,4000
PHY312648,670,1,1068.0,6000
PHY312648,674,1,1068.0,12000
PHY312648,739,1,1068.0,6000
PHY312648,853,1,1068.0,5000
PHY312648,862,1,1068.0,10000
PHY312648,880,1,1068.0,14000
PHY312648,897,1,1068.0,3000
PHY312648,916,1,1068.0,8000
PHY312648,939,1,1068.0,19000
PHY312648,OTH,1,1068.0,0
PHY312650,000,1,1068.0,0
PHY312652,382,1,1068.0,12000
PHY312659,350,1,1068.0,0
PHY312677,826,1,1068.0,9000
PHY312690,259,1,1068.0,7000
PHY312694,035,1,1068.0,5000
PHY312694,208,1,1068.0,4000
PHY312694,461,1,1068.0,10000
PHY312702,225,1,1068.0,8000
PHY312708,232,1,1068.0,3000
PHY312708,484,1,1068.0,0
PHY312708,865,2,2136.0,28000
PHY312709,058,1,1068.0,12000
PHY312709,233,1,1068.0,6000
PHY312715,315,1,1068.0,5000
PHY312719,076,1,1068.0,6000
PHY312720,058,1,1068.0,12000
PHY312721,203,1,1068.0,5000
PHY312721,504,1,1068.0,20000
PHY312721,620,1,1068.0,12000
PHY312725,004,1,1068.0,57000
PHY312726,645,1,1068.0,6000
PHY312728,294,2,2136.0,30000
PHY312729,036,1,1068.0,8000
PHY312729,064,1,1068.0,6000
PHY312729,100,1,1068.0,13000
PHY312729,164,1,1068.0,16000
PHY312729,177,1,1068.0,14000
PHY312729,195,1,1068.0,4000
PHY312729,201,1,1068.0,19000
PHY312729,224,1,1068.0,16000
PHY312729,231,1,1068.0,9000
PHY312729,257,1,1068.0,2000
PHY312729,263,1,1068.0,18000
PHY312729,264,1,1068.0,33000
PHY312729,286,1,1068.0,10000
PHY312729,298,1,1068.0,6000
PHY312729,308,1,1068.0,14000
PHY312729,454,1,1068.0,8000
PHY312729,505,1,1068.0,12000
PHY312729,553,1,1068.0,9000
PHY312729,561,1,1068.0,7000
PHY312729,601,1,1068.0,3000
PHY312729,605,1,1068.0,4000
PHY312729,675,1,1068.0,10000
PHY312729,739,1,1068.0,12000
PHY312729,759,1,1068.0,12000
PHY312729,896,1,1068.0,800
PHY312729,946,1,1068.0,26000
PHY312729,950,1,1068.0,14000
PHY312731,103,1,1068.0,14000
PHY312765,385,1,1068.0,14000
PHY312772,744,1,1068.0,4000
PHY312781,346,1,1068.0,29000
PHY312781,986,1,1068.0,37000
PHY312782,007,3,3204.0,171000
PHY312782,065,2,2136.0,8000
PHY312782,067,1,1068.0,9000
PHY312782,163,2,2136.0,28000
PHY312782,206,1,0.0,5000
PHY312782,216,2,2136.0,16000
PHY312782,217,2,2136.0,28000
PHY312782,286,3,3204.0,63000
PHY312782,391,2,2136.0,40000
PHY312782,652,2,2136.0,12000
PHY312782,671,1,1068.0,3000
PHY312782,695,1,1068.0,3000
PHY312782,838,3,3204.0,33000
PHY312782,864,1,1068.0,9000
PHY312782,870,3,3204.0,93000
PHY312782,886,1,1068.0,8000
PHY312782,940,1,1068.0,10000
PHY312784,219,1,1068.0,15000
PHY312794,950,1,1068.0,4000
PHY312795,657,1,1068.0,7000
PHY312807,464,1,1068.0,10000
PHY312818,258,1,1068.0,15000
PHY312834,196,2,0.0,66000
PHY312834,726,2,2136.0,24000
PHY312835,258,1,1068.0,5000
PHY312837,355,1,1068.0,6000
PHY312837,383,1,1068.0,8000
PHY312839,811,1,1068.0,3000
PHY312866,395,1,1068.0,4000
PHY312867,301,1,1068.0,8000
PHY312870,884,1,1068.0,800
PHY312882,862,1,1068.0,10000
PHY312883,293,1,1068.0,0
PHY312883,355,1,1068.0,5000
PHY312885,579,1,1068.0,4000
PHY312890,089,1,1068.0,2000
PHY312890,292,1,1068.0,13000
PHY312890,347,1,1068.0,15000
PHY312890,669,1,1068.0,12000
PHY312890,854,1,1068.0,15000
PHY312890,949,1,0.0,26000
PHY312901,197,1,1068.0,8000
PHY312901,626,1,1068.0,7000
PHY312902,666,1,1068.0,5000
PHY312903,554,1,1068.0,15000
PHY312903,684,1,1068.0,7000
PHY312906,252,1,1068.0,4000
