Provider,DiagnosisGroupCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PRV51053,285,1,1068.0,8000
PRV51055,501,1,1068.0,16000
PRV51055,897,1,1068.0,700
PRV51056,101,1,1068.0,3000
PRV51056,378,1,1068.0,5000
PRV51058,066,1,1068.0,6000
PRV51058,178,1,1068.0,5000
PRV51058,216,1,1068.0,7000
PRV51058,298,1,1068.0,57000
PRV51058,867,1,1068.0,16000
PRV51059,003,1,1068.0,57000
PRV51059,036,1,1068.0,6000
PRV51059,065,1,1068.0,34000
PRV51059,097,1,1068.0,13000
PRV51059,131,1,1068.0,3000
PRV51059,165,1,1068.0,4000
PRV51059,166,1,1068.0,6000
PRV51059,195,1,1068.0,7000
PRV51059,249,2,2136.0,50000
PRV51059,264,1,1068.0,8000
PRV51059,298,1,1068.0,16000
PRV51059,333,1,1068.0,5000
PRV51059,348,1,1068.0,5000
PRV51059,358,1,1068.0,10000
PRV51059,378,1,1068.0,5000
PRV51059,381,1,1068.0,50000
PRV51059,494,1,1068.0,14000
PRV51059,499,1,1068.0,4000
PRV51059,506,1,1068.0,13000
PRV51059,516,1,1068.0,10000
PRV51059,573,1,1068.0,5000
PRV51059,577,1,1068.0,53000
PRV51059,696,1,1068.0,17000
PRV51059,897,1,1068.0,6000
PRV51060,177,1,1068.0,14000
PRV51060,188,1,1068.0,8000
PRV51060,218,1,1068.0,3000
PRV51060,219,1,1068.0,5000
PRV51060,302,1,1068.0,5000
PRV51061,371,1,1068.0,3000
PRV51062,197,1,1068.0,4000
PRV51062,228,1,1068.0,16000
PRV51062,230,1,1068.0,25000
PRV51064,007,1,1068.0,37000
PRV51064,032,1,1068.0,6000
PRV51064,062,2,2136.0,13000
PRV51064,075,1,1068.0,3000
PRV51064,166,1,1068.0,4000
PRV51064,179,1,1068.0,11000
PRV51064,181,1,1068.0,6000
PRV51064,182,2,2136.0,20000
PRV51064,183,1,1068.0,0
PRV51064,184,1,1068.0,7000
PRV51064,202,1,1068.0,13000
PRV51064,218,1,1068.0,11000
PRV51064,227,1,1068.0,3000
PRV51064,236,1,1068.0,0
PRV51064,242,1,1068.0,10000
PRV51064,248,1,1068.0,5000
PRV51064,263,1,1068.0,7000
PRV51064,287,1,1068.0,8000
PRV51064,288,1,1068.0,25000
PRV51064,309,1,1068.0,2000
PRV51064,312,1,1068.0,11000
PRV51064,345,1,1068.0,11000
PRV51064,382,1,1068.0,3000
PRV51064,620,1,1068.0,1000
PRV51064,662,1,1068.0,5000
PRV51064,666,1,1068.0,0
PRV51064,867,1,1068.0,9000
PRV51064,881,1,1068.0,5000
PRV51064,884,1,1068.0,4000
PRV51064,885,1,1068.0,10000
PRV51064,902,1,1068.0,5000
PRV51064,939,1,1068.0,17000
PRV51064,947,1,1068.0,1000
PRV51064,976,1,1068.0,7000
PRV51065,176,1,0.0,8000
PRV51065,196,1,1068.0,7000
PRV51065,204,1,1068.0,3000
PRV51065,223,1,1068.0,7000
PRV51065,281,1,1068.0,9000
PRV51065,282,1,1068.0,11000
PRV51065,479,1,1068.0,10000
PRV51065,854,1,1068.0,6000
PRV51065,864,1,1068.0,11000
PRV51065,897,1,1068.0,3000
PRV51066,308,1,1068.0,15000
PRV51066,348,1,1068.0,4000
PRV51067,168,1,1068.0,6000
PRV51067,187,1,1068.0,36000
PRV51067,199,1,1068.0,21000
PRV51067,374,1,1068.0,33000
PRV51067,419,1,1068.0,83000
PRV51067,472,1,1068.0,37000
PRV51067,551,1,1068.0,54000
PRV51067,559,1,1068.0,20000
PRV51067,573,1,1068.0,5000
PRV51067,810,1,1068.0,7000
PRV51067,868,1,1068.0,12000
PRV51067,947,1,1068.0,12000
PRV51068,096,1,1068.0,8000
PRV51068,100,1,1068.0,5000
PRV51068,206,1,1068.0,6000
PRV51068,303,1,1068.0,2000
PRV51068,311,1,0.0,8000
PRV51068,513,1,1068.0,13000
PRV51068,693,1,1068.0,5000
PRV51068,866,1,1068.0,19000
PRV51068,902,1,1068.0,11000
PRV51070,023,1,1068.0,11000
PRV51070,183,1,1068.0,3000
PRV51070,193,1,1068.0,16000
PRV51070,204,1,1068.0,9000
PRV51070,283,1,1068.0,5000
PRV51070,304,1,1068.0,8000
PRV51070,307,1,1068.0,11000
PRV51070,736,1,1068.0,13000
PRV51070,881,1,1068.0,3000
PRV51070,950,1,1068.0,22000
PRV51072,093,1,1068.0,12000
PRV51072,167,1,1068.0,3000
PRV51072,347,1,1068.0,3000
PRV51072,351,1,1068.0,4000
PRV51072,394,1,1068.0,4000
PRV51072,463,1,1068.0,9000
PRV51072,545,1,1068.0,5000
PRV51072,594,1,1068.0,3000
PRV51072,614,1,1068.0,7000
PRV51072,664,1,1068.0,14000
PRV51072,668,1,1068.0,4000
PRV51072,871,1,0.0,4000
PRV51074,247,1,1068.0,3000
PRV51074,302,1,1068.0,3000
PRV51074,423,1,1068.0,7000
PRV51074,543,1,1068.0,15000
PRV51074,945,1,1068.0,3000
PRV51077,028,1,1068.0,25000
PRV51077,163,1,0.0,8000
PRV51077,168,1,1068.0,6000
PRV51077,185,1,1068.0,6000
PRV51077,225,1,1068.0,5000
PRV51077,227,1,1068.0,3000
PRV51077,263,1,1068.0,56000
PRV51077,313,1,1068.0,5000
PRV51077,353,1,1068.0,5000
PRV51077,407,1,1068.0,9000
PRV51077,424,1,1068.0,3000
PRV51077,645,1,1068.0,22000
PRV51077,664,1,1068.0,19000
PRV51077,684,1,1068.0,6000
PRV51077,880,1,1068.0,5000
PRV51077,951,1,1068.0,16000
PRV51078,132,1,0.0,3000
PRV51078,166,1,1068.0,9000
PRV51078,202,1,1068.0,9000
PRV51078,264,1,1068.0,5000
PRV51078,286,1,1068.0,16000
PRV51078,469,1,1068.0,4000
PRV51078,479,1,1068.0,12000
PRV51078,541,1,1068.0,14000
PRV51078,604,1,1068.0,4000
PRV51081,193,1,1068.0,3000
PRV51081,203,1,1068.0,9000
PRV51081,250,1,1068.0,48000
PRV51081,389,1,1068.0,7000
PRV51081,506,1,1068.0,3000
PRV51081,535,1,1068.0,9000
PRV51084,023,1,1068.0,19000
PRV51084,033,1,1068.0,6000
PRV51084,039,1,1068.0,7000
PRV51084,177,1,1068.0,5000
PRV51084,186,1,1068.0,4000
PRV51084,190,1,1068.0,4000
PRV51084,206,1,1068.0,7000
PRV51084,207,1,1068.0,6000
PRV51084,294,1,1068.0,5000
PRV51084,312,1,1068.0,5000
PRV51084,313,1,1068.0,0
PRV51084,314,1,1068.0,3000
PRV51084,339,1,1068.0,9000
PRV51084,440,1,1068.0,45000
PRV51084,490,1,1068.0,9000
PRV51084,493,1,1068.0,36000
PRV51084,630,1,1068.0,4000
PRV51084,684,1,1068.0,3000
PRV51084,855,1,1068.0,6000
PRV51084,947,1,1068.0,8000
PRV51086,163,1,1068.0,0
PRV51086,182,1,1068.0,4000
PRV51086,187,2,2136.0,28000
PRV51086,202,1,1068.0,4000
PRV51086,219,1,1068.0,4000
PRV51086,247,1,1068.0,14000
PRV51086,251,1,1068.0,6000
PRV51086,252,1,1068.0,6000
PRV51086,261,2,2136.0,71000
PRV51086,281,1,1068.0,47000
PRV51086,288,1,1068.0,26000
PRV51086,312,1,1068.0,15000
PRV51086,375,1,1068.0,3000
PRV51086,377,1,1068.0,4000
PRV51086,441,1,1068.0,6000
PRV51086,445,1,1068.0,9000
PRV51086,479,1,1068.0,30000
PRV51086,539,1,1068.0,13000
PRV51086,554,1,1068.0,16000
PRV51086,577,1,1068.0,19000
PRV51086,630,1,1068.0,9000
PRV51086,659,1,1068.0,8000
PRV51086,671,1,1068.0,3000
PRV51086,684,1,1068.0,4000
PRV51086,801,1,1068.0,15000
PRV51086,804,1,1068.0,4000
PRV51086,867,1,1068.0,14000
PRV51086,947,1,1068.0,13000
PRV51086,948,1,1068.0,18000
PRV51089,079,1,1068.0,4000
PRV51089,193,1,1068.0,12000
PRV51089,233,1,1068.0,41000
PRV51089,238,1,1068.0,3000
PRV51089,246,1,0.0,9000
PRV51089,254,1,1068.0,3000
PRV51089,333,1,1068.0,8000
PRV51089,380,1,1068.0,14000
PRV51089,440,1,1068.0,4000
PRV51089,474,1,1068.0,27000
PRV51089,507,1,1068.0,4000
PRV51089,546,1,1068.0,0
PRV51089,549,1,1068.0,20000
PRV51089,576,1,1068.0,8000
PRV51089,605,1,1068.0,4000
PRV51089,644,1,1068.0,5000
PRV51089,696,1,1068.0,5000
PRV51089,864,1,1068.0,6000
PRV51093,204,1,1068.0,11000
PRV51093,OTH,1,1068.0,0
PRV51100,168,1,1068.0,17000
PRV51100,252,1,1068.0,33000
PRV51100,565,1,1068.0,17000
PRV51100,915,1,1068.0,8000
PRV51100,941,1,1068.0,3000
PRV51101,185,1,1068.0,3000
PRV51101,381,1,1068.0,13000
PRV51101,615,1,1068.0,600
PRV51102,079,1,1068.0,6000
PRV51102,114,1,1068.0,4000
PRV51102,208,1,1068.0,19000
PRV51102,242,1,1068.0,13000
PRV51102,280,1,1068.0,11000
PRV51102,304,1,1068.0,7000
PRV51102,308,1,1068.0,14000
PRV51102,312,1,1068.0,47000
PRV51102,585,1,1068.0,6000
PRV51102,617,1,1068.0,3000
PRV51102,801,1,1068.0,14000
PRV51102,948,1,1068.0,4000
PRV51108,025,1,1068.0,0
PRV51108,086,1,1068.0,3000
PRV51108,093,1,1068.0,8000
PRV51108,168,1,0.0,7000
PRV51108,206,1,1068.0,9000
PRV51108,215,1,1068.0,2000
PRV51108,237,1,1068.0,4000
PRV51108,252,1,1068.0,22000
PRV51108,294,1,1068.0,2000
PRV51108,330,1,1068.0,13000
PRV51108,351,1,1068.0,13000
PRV51108,370,1,1068.0,17000
PRV51108,380,1,1068.0,7000
PRV51108,459,1,1068.0,11000
PRV51108,621,1,1068.0,3000
PRV51108,697,1,1068.0,7000
PRV51108,862,1,1068.0,9000
PRV51108,884,1,1068.0,6000
PRV51108,951,1,1068.0,13000
PRV51109,057,1,1068.0,7000
PRV51109,368,1,1068.0,8000
PRV51109,433,1,1068.0,3000
PRV51110,061,1,1068.0,7000
PRV51110,166,1,1068.0,4000
PRV51110,302,1,1068.0,4000
PRV51110,393,1,1068.0,9000
PRV51110,876,1,1068.0,3000
PRV51118,024,1,1068.0,6000
PRV51118,177,1,0.0,21000
PRV51118,183,1,1068.0,9000
PRV51118,193,1,0.0,22000
PRV51118,202,1,1068.0,7000
PRV51118,256,1,1068.0,8000
PRV51118,263,1,1068.0,5000
PRV51118,285,1,1068.0,9000
PRV51118,315,1,1068.0,11000
PRV51118,471,1,1068.0,10000
PRV51118,488,1,1068.0,7000
PRV51118,602,1,1068.0,4000
PRV51118,617,1,1068.0,2000
PRV51118,693,1,1068.0,9000
PRV51118,894,1,1068.0,3000
PRV51118,949,1,1068.0,3000
PRV51119,052,2,2136.0,14000
PRV51119,069,1,1068.0,5000
PRV51119,078,1,1068.0,4000
PRV51119,088,1,1068.0,2000
PRV51119,090,1,1068.0,4000
PRV51119,102,1,1068.0,4000
PRV51119,129,1,1068.0,3000
PRV51119,168,1,1068.0,5000
PRV51119,176,1,1068.0,7000
PRV51119,179,1,1068.0,2000
PRV51119,181,1,1068.0,3000
PRV51119,187,1,1068.0,16000
PRV51119,192,1,1068.0,28000
PRV51119,194,1,1068.0,3000
PRV51119,196,2,1068.0,13000
PRV51119,198,1,1068.0,9000
PRV51119,200,1,1068.0,3000
PRV51119,217,2,2136.0,47000
PRV51119,233,1,1068.0,11000
PRV51119,239,1,1068.0,7000
PRV51119,240,2,2136.0,9000
PRV51119,241,1,1068.0,38000
PRV51119,242,1,1068.0,17000
PRV51119,247,1,1068.0,12000
PRV51119,248,1,1068.0,4000
PRV51119,256,1,1068.0,17000
PRV51119,258,1,1068.0,3000
PRV51119,260,1,1068.0,8000
PRV51119,281,1,1068.0,10000
PRV51119,282,1,1068.0,8000
PRV51119,286,2,1068.0,24000
PRV51119,293,1,1068.0,7000
PRV51119,295,1,1068.0,9000
PRV51119,296,1,1068.0,8000
PRV51119,299,2,2136.0,20000
PRV51119,312,1,1068.0,4000
PRV51119,327,1,1068.0,4000
PRV51119,329,1,1068.0,3000
PRV51119,332,1,1068.0,8000
PRV51119,336,1,1068.0,3000
PRV51119,339,1,1068.0,11000
PRV51119,342,1,1068.0,7000
PRV51119,345,1,1068.0,5000
PRV51119,348,2,2136.0,32000
PRV51119,349,1,1068.0,0
PRV51119,350,1,1068.0,4000
PRV51119,378,1,1068.0,4000
PRV51119,382,1,1068.0,20000
PRV51119,384,1,1068.0,11000
PRV51119,393,1,1068.0,6000
PRV51119,407,1,1068.0,5000
PRV51119,416,1,1068.0,11000
PRV51119,487,1,1068.0,30000
PRV51119,491,1,1068.0,6000
PRV51119,502,1,1068.0,3000
PRV51119,507,1,1068.0,10000
PRV51119,515,1,0.0,19000
PRV51119,539,1,1068.0,7000
PRV51119,547,1,1068.0,5000
PRV51119,554,1,1068.0,18000
PRV51119,557,1,1068.0,6000
PRV51119,620,1,1068.0,3000
PRV51119,622,1,1068.0,5000
PRV51119,643,1,1068.0,7000
PRV51119,667,2,2136.0,6000
PRV51119,668,1,1068.0,6000
PRV51119,674,1,1068.0,3000
PRV51119,694,1,1068.0,4000
PRV51119,696,1,1068.0,6000
PRV51119,700,1,1068.0,14000
PRV51119,741,1,1068.0,4000
PRV51119,759,1,1068.0,6000
PRV51119,862,2,1068.0,161000
PRV51119,864,1,1068.0,4000
PRV51119,871,1,1068.0,19000
PRV51119,872,1,1068.0,16000
PRV51119,896,1,1068.0,5000
PRV51119,915,1,1068.0,5000
PRV51119,940,1,1068.0,18000
PRV51119,945,1,1068.0,14000
PRV51119,946,1,1068.0,11000
PRV51119,948,1,1068.0,30000
PRV51119,950,1,1068.0,9000
PRV51119,951,1,1068.0,3000
PRV51119,OTH,1,1068.0,0
PRV51120,235,1,1068.0,8000
PRV51120,244,1,1068.0,15000
PRV51120,256,1,1068.0,3000
PRV51120,312,1,1068.0,3000
PRV51120,337,1,1068.0,10000
PRV51120,614,1,1068.0,10000
PRV51120,951,1,1068.0,3000
PRV51121,223,1,1068.0,45000
PRV51121,284,1,1068.0,4000
PRV51121,475,1,1068.0,18000
PRV51121,607,1,1068.0,4000
PRV51121,896,1,1068.0,3000
PRV51121,905,1,1068.0,7000
PRV51123,620,1,1068.0,5000
PRV51123,640,1,1068.0,4000
PRV51125,029,1,1068.0,8000
PRV51125,040,1,1068.0,30000
PRV51125,219,1,1068.0,2000
PRV51125,283,1,1068.0,5000
PRV51125,296,1,1068.0,3000
PRV51125,306,1,1068.0,4000
PRV51125,381,1,1068.0,14000
PRV51125,420,1,1068.0,4000
PRV51125,504,1,1068.0,18000
PRV51125,517,1,1068.0,8000
PRV51125,867,1,1068.0,4000
PRV51125,872,1,1068.0,10000
PRV51126,000,1,1068.0,0
PRV51126,163,1,1068.0,6000
PRV51126,166,1,1068.0,8000
PRV51126,223,1,1068.0,9000
PRV51126,238,1,1068.0,7000
PRV51126,246,1,1068.0,4000
PRV51126,260,1,1068.0,6000
PRV51126,261,1,1068.0,7000
PRV51126,342,1,1068.0,11000
PRV51126,371,1,1068.0,3000
PRV51126,372,1,1068.0,12000
PRV51126,383,1,1068.0,5000
PRV51126,556,1,1068.0,8000
PRV51126,579,1,1068.0,2000
PRV51126,657,1,1068.0,10000
PRV51126,685,1,1068.0,25000
PRV51126,755,1,1068.0,8000
PRV51126,905,1,1068.0,7000
PRV51126,917,1,1068.0,20000
PRV51126,950,1,1068.0,19000
PRV51128,259,1,1068.0,29000
PRV51128,282,1,1068.0,19000
PRV51128,343,1,1068.0,7000
PRV51128,383,1,1068.0,27000
PRV51128,856,1,1068.0,8000
PRV51132,216,1,1068.0,4000
PRV51136,312,1,1068.0,20000
PRV51137,041,1,1068.0,6000
PRV51138,096,1,1068.0,6000
PRV51139,206,1,1068.0,4000
PRV51139,216,1,1068.0,4300
PRV51139,232,1,1068.0,4000
PRV51139,259,1,1068.0,8000
PRV51139,464,1,1068.0,14000
PRV51139,901,1,1068.0,3000
PRV51139,949,1,1068.0,4000
PRV51140,000,1,1068.0,0
PRV51140,038,1,1068.0,3000
PRV51140,063,1,1068.0,6000
PRV51140,071,1,1068.0,8000
PRV51140,175,2,2136.0,13000
PRV51140,180,1,1068.0,7000
PRV51140,188,1,1068.0,6000
PRV51140,192,1,1068.0,4000
PRV51140,195,1,1068.0,12000
PRV51140,205,1,1068.0,11000
PRV51140,206,1,1068.0,7000
PRV51140,208,1,1068.0,3000
PRV51140,223,1,1068.0,16000
PRV51140,227,1,1068.0,2000
PRV51140,242,1,1068.0,7000
PRV51140,252,1,1068.0,2000
PRV51140,261,1,1068.0,3000
PRV51140,354,1,1068.0,4000
PRV51140,368,1,1068.0,4000
