Provider,ClmProcedureCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PRV51030,5123.0,1,1068.0,12000
PRV51030,5187.0,1,1068.0,18000
PRV51030,5451.0,1,1068.0,17000
PRV51030,5491.0,2,2136.0,17000
PRV51030,5523.0,1,1068.0,4000
PRV51030,5718.0,1,1068.0,0
PRV51030,6029.0,2,2136.0,14000
PRV51030,7092.0,1,0.0,6000
PRV51030,7935.0,2,2136.0,71000
PRV51030,8151.0,1,1068.0,21000
PRV51030,8152.0,1,1068.0,18000
PRV51030,8801.0,1,1068.0,6000
PRV51030,8872.0,2,2136.0,8000
PRV51030,8877.0,1,1068.0,4000
PRV51030,8952.0,1,1068.0,7000
PRV51030,9390.0,1,1068.0,14000
PRV51030,9465.0,1,1068.0,4000
PRV51030,9604.0,2,2136.0,23000
PRV51030,9607.0,1,1068.0,9000
PRV51030,9904.0,2,2136.0,38000
PRV51030,9919.0,1,1068.0,11000
PRV51030,9971.0,1,1068.0,6000
PRV51031,387.0,3,3204.0,61000
PRV51031,570.0,1,1068.0,5000
PRV51031,2724.0,1,1068.0,68000
PRV51031,3324.0,1,1068.0,7000
PRV51031,3612.0,1,1068.0,68000
PRV51031,3722.0,1,1068.0,5000
PRV51031,3725.0,1,1068.0,5000
PRV51031,3893.0,1,1068.0,0
PRV51031,3971.0,1,1068.0,24000
PRV51031,3995.0,1,1068.0,12000
PRV51031,4019.0,1,1068.0,24000
PRV51031,4254.0,1,1068.0,23000
PRV51031,5185.0,1,1068.0,14000
PRV51031,6029.0,1,1068.0,4000
PRV51031,7359.0,1,1068.0,5000
PRV51031,7802.0,1,1068.0,5000
PRV51031,7935.0,1,1068.0,11000
PRV51031,8480.0,1,1068.0,14000
PRV51031,8872.0,1,1068.0,8000
PRV51031,8954.0,1,1068.0,5000
PRV51031,9672.0,1,1068.0,23000
PRV51031,9905.0,1,1068.0,9000
PRV51031,9919.0,1,1068.0,4000
PRV51035,311.0,1,1068.0,29000
PRV51037,66.0,1,1068.0,9000
PRV51037,309.0,1,1068.0,6000
PRV51037,2724.0,2,2136.0,32000
PRV51037,2749.0,1,1068.0,17000
PRV51037,4131.0,1,1068.0,4000
PRV51037,5187.0,1,1068.0,21000
PRV51037,7935.0,1,1068.0,16000
PRV51037,7962.0,1,1068.0,23000
PRV51037,8107.0,1,1068.0,23000
PRV51037,8152.0,1,1068.0,17000
PRV51037,8154.0,1,1068.0,12000
PRV51037,9904.0,1,1068.0,7000
PRV51038,560.0,1,1068.0,7000
PRV51038,3812.0,1,1068.0,17000
PRV51038,3893.0,1,1068.0,9000
PRV51038,4019.0,1,1068.0,12000
PRV51038,4576.0,1,1068.0,12000
PRV51038,5123.0,1,1068.0,11000
PRV51038,5781.0,1,1068.0,12000
PRV51038,8151.0,2,2136.0,21000
PRV51038,8154.0,1,1068.0,12000
PRV51038,8891.0,1,1068.0,17000
PRV51038,9390.0,1,0.0,7000
PRV51038,9425.0,1,1068.0,10000
PRV51038,9462.0,1,1068.0,2000
PRV51038,9921.0,1,1068.0,17000
PRV51040,3893.0,1,1068.0,19000
PRV51040,5495.0,1,1068.0,21000
PRV51040,8051.0,1,1068.0,4000
PRV51040,8152.0,1,1068.0,0
PRV51040,8703.0,1,1068.0,5000
PRV51040,8708.0,1,1068.0,0
PRV51040,8965.0,1,1068.0,0
PRV51046,3995.0,1,1068.0,5000
PRV51046,4516.0,1,1068.0,10000
PRV51046,8152.0,1,1068.0,11000
PRV51046,8154.0,1,1068.0,38000
PRV51046,9339.0,1,1068.0,17000
PRV51048,3812.0,1,1068.0,5000
PRV51048,5749.0,1,1068.0,7000
PRV51048,9462.0,1,1068.0,4000
PRV51052,4516.0,1,1068.0,5000
PRV51053,3891.0,1,1068.0,8000
PRV51055,8154.0,1,1068.0,16000
PRV51055,9465.0,1,1068.0,700
PRV51056,4516.0,1,1068.0,5000
PRV51056,5849.0,1,1068.0,5000
PRV51058,3320.0,1,1068.0,7000
PRV51058,3512.0,1,1068.0,57000
PRV51058,3812.0,1,1068.0,6000
PRV51058,3893.0,1,1068.0,16000
PRV51058,9904.0,1,1068.0,7000
PRV51059,66.0,2,2136.0,27000
PRV51059,239.0,1,1068.0,34000
PRV51059,309.0,1,1068.0,4000
PRV51059,311.0,1,1068.0,57000
PRV51059,331.0,1,1068.0,6000
PRV51059,412.0,1,1068.0,50000
PRV51059,598.0,1,1068.0,17000
PRV51059,2724.0,1,1068.0,16000
PRV51059,2769.0,1,1068.0,57000
PRV51059,2771.0,1,1068.0,57000
PRV51059,3523.0,1,1068.0,39000
PRV51059,3926.0,1,1068.0,50000
PRV51059,3995.0,1,1068.0,14000
PRV51059,4254.0,1,1068.0,50000
PRV51059,4264.0,1,1068.0,11000
PRV51059,5845.0,1,1068.0,39000
PRV51059,8103.0,1,1068.0,10000
PRV51059,8151.0,1,1068.0,13000
PRV51059,8604.0,1,1068.0,5000
PRV51059,9339.0,1,1068.0,10000
PRV51059,9390.0,2,2136.0,11000
PRV51059,9469.0,1,1068.0,6000
PRV51061,4019.0,1,1068.0,3000
PRV51061,8801.0,1,1068.0,3000
PRV51062,66.0,1,1068.0,16000
PRV51062,2724.0,1,1068.0,16000
PRV51062,3613.0,1,1068.0,25000
PRV51062,4019.0,1,1068.0,25000
PRV51062,8841.0,1,1068.0,4000
PRV51064,66.0,1,1068.0,11000
PRV51064,311.0,1,1068.0,37000
PRV51064,496.0,1,1068.0,14000
PRV51064,2724.0,1,1068.0,14000
PRV51064,3241.0,1,1068.0,14000
PRV51064,3320.0,1,1068.0,7000
PRV51064,3326.0,1,1068.0,13000
PRV51064,3722.0,1,1068.0,5000
PRV51064,3772.0,1,1068.0,11000
PRV51064,3893.0,2,2136.0,17000
PRV51064,3949.0,1,1068.0,25000
PRV51064,3995.0,2,2136.0,14000
PRV51064,4019.0,2,2136.0,11000
PRV51064,4240.0,1,1068.0,0
PRV51064,4709.0,1,1068.0,11000
PRV51064,8872.0,3,3204.0,19000
PRV51064,9339.0,1,1068.0,17000
PRV51064,9390.0,1,1068.0,6000
PRV51064,9671.0,2,2136.0,5000
PRV51064,9971.0,1,1068.0,25000
PRV51065,3772.0,1,1068.0,9000
PRV51065,3893.0,1,1068.0,11000
PRV51065,3899.0,1,1068.0,3000
PRV51065,5849.0,1,1068.0,11000
PRV51065,8151.0,1,1068.0,10000
PRV51065,8628.0,1,1068.0,6000
PRV51065,8659.0,1,1068.0,11000
PRV51065,8891.0,1,1068.0,3000
PRV51065,9396.0,1,1068.0,7000
PRV51066,4562.0,1,1068.0,15000
PRV51066,9904.0,1,1068.0,4000
PRV51067,70.0,1,1068.0,54000
PRV51067,311.0,2,2136.0,103000
PRV51067,3893.0,1,1068.0,21000
PRV51067,4019.0,1,1068.0,83000
PRV51067,4603.0,1,1068.0,33000
PRV51067,5132.0,1,1068.0,83000
PRV51067,7823.0,1,1068.0,37000
PRV51067,8108.0,2,2136.0,57000
PRV51067,8741.0,1,1068.0,36000
PRV51067,9656.0,1,1068.0,12000
PRV51067,9904.0,1,1068.0,7000
PRV51068,3812.0,1,1068.0,8000
PRV51068,4516.0,1,1068.0,19000
PRV51068,8154.0,1,1068.0,13000
PRV51070,2724.0,1,1068.0,11000
PRV51070,3734.0,1,1068.0,11000
PRV51070,3777.0,1,1068.0,8000
PRV51070,4019.0,1,1068.0,11000
PRV51070,6851.0,1,1068.0,13000
PRV51070,9914.0,1,1068.0,9000
PRV51072,4516.0,1,1068.0,4000
PRV51072,6029.0,1,1068.0,14000
PRV51072,7915.0,1,1068.0,9000
PRV51072,8703.0,1,1068.0,5000
PRV51072,8801.0,1,1068.0,4000
PRV51072,8891.0,1,1068.0,12000
PRV51074,8151.0,1,1068.0,15000
PRV51077,331.0,1,1068.0,25000
PRV51077,2630.0,1,1068.0,22000
PRV51077,2724.0,1,1068.0,56000
PRV51077,3613.0,1,1068.0,56000
PRV51077,5411.0,1,1068.0,19000
PRV51077,8622.0,1,1068.0,22000
PRV51077,9390.0,1,1068.0,6000
PRV51077,9904.0,1,1068.0,5000
PRV51078,412.0,1,1068.0,14000
PRV51078,3785.0,1,1068.0,16000
PRV51078,3995.0,1,1068.0,9000
PRV51078,7054.0,1,1068.0,12000
PRV51078,8152.0,1,1068.0,14000
PRV51078,8180.0,1,1068.0,12000
PRV51078,8891.0,1,0.0,3000
PRV51078,9929.0,1,1068.0,4000
PRV51081,2724.0,1,1068.0,7000
PRV51081,3512.0,1,1068.0,48000
PRV51081,3893.0,1,1068.0,7000
PRV51081,5849.0,2,2136.0,16000
PRV51081,8154.0,1,1068.0,9000
PRV51081,9390.0,1,1068.0,9000
PRV51081,9904.0,1,1068.0,3000
PRV51084,3722.0,1,1068.0,0
PRV51084,3812.0,2,2136.0,25000
PRV51084,3895.0,1,1068.0,9000
PRV51084,3950.0,1,1068.0,45000
PRV51084,3995.0,1,1068.0,5000
PRV51084,4019.0,3,3204.0,61000
PRV51084,5119.0,1,1068.0,45000
PRV51084,8154.0,1,1068.0,36000
PRV51084,8180.0,1,1068.0,9000
PRV51084,9301.0,1,1068.0,8000
PRV51084,9905.0,1,1068.0,7000
PRV51086,66.0,1,1068.0,14000
PRV51086,864.0,1,1068.0,19000
PRV51086,2724.0,1,1068.0,47000
PRV51086,3522.0,1,1068.0,57000
PRV51086,3722.0,1,1068.0,47000
PRV51086,4019.0,1,1068.0,15000
PRV51086,4438.0,1,1068.0,9000
PRV51086,4516.0,1,1068.0,4000
PRV51086,4523.0,1,1068.0,3000
PRV51086,4525.0,1,1068.0,3000
PRV51086,5011.0,1,1068.0,9000
PRV51086,5123.0,1,1068.0,6000
PRV51086,5185.0,1,1068.0,4000
PRV51086,5749.0,1,1068.0,8000
PRV51086,5845.0,1,1068.0,57000
PRV51086,7855.0,1,1068.0,16000
PRV51086,7935.0,1,1068.0,13000
PRV51086,8106.0,1,1068.0,30000
PRV51086,8659.0,1,1068.0,4000
PRV51086,8856.0,1,1068.0,15000
PRV51086,9205.0,1,1068.0,14000
PRV51086,9339.0,1,1068.0,4000
PRV51086,9671.0,1,1068.0,4000
PRV51086,9904.0,1,1068.0,15000
PRV51089,51.0,1,1068.0,41000
PRV51089,66.0,1,0.0,9000
PRV51089,80.0,1,1068.0,27000
PRV51089,2724.0,2,1068.0,17000
PRV51089,2762.0,1,1068.0,41000
PRV51089,3324.0,1,1068.0,12000
PRV51089,4019.0,1,1068.0,4000
PRV51089,4524.0,1,1068.0,8000
PRV51089,4601.0,1,1068.0,14000
PRV51089,7971.0,1,1068.0,4000
PRV51089,8151.0,1,1068.0,20000
PRV51089,8339.0,1,1068.0,8000
PRV51089,8838.0,1,1068.0,0
PRV51089,9904.0,1,1068.0,6000
PRV51089,9905.0,1,1068.0,5000
PRV51089,9960.0,1,1068.0,3000
PRV51093,864.0,1,1068.0,0
PRV51093,9904.0,1,1068.0,11000
PRV51100,309.0,1,1068.0,17000
PRV51100,3220.0,1,1068.0,17000
PRV51100,3925.0,1,1068.0,33000
PRV51100,9671.0,1,1068.0,8000
PRV51101,4516.0,1,1068.0,13000
PRV51102,331.0,1,1068.0,4000
PRV51102,387.0,1,1068.0,19000
PRV51102,2724.0,2,2136.0,60000
PRV51102,2761.0,1,1068.0,4000
PRV51102,3712.0,1,1068.0,14000
PRV51102,3722.0,1,1068.0,47000
PRV51102,3772.0,1,1068.0,13000
PRV51102,8919.0,1,1068.0,6000
PRV51102,9904.0,1,1068.0,14000
PRV51102,9962.0,1,1068.0,7000
PRV51108,131.0,1,1068.0,0
PRV51108,3971.0,1,1068.0,22000
PRV51108,4019.0,1,1068.0,22000
PRV51108,4525.0,1,1068.0,7000
PRV51108,8154.0,1,1068.0,11000
PRV51108,8954.0,1,1068.0,3000
PRV51109,185.0,1,1068.0,7000
PRV51109,4709.0,1,1068.0,8000
PRV51109,5185.0,1,1068.0,3000
PRV51109,8703.0,1,1068.0,7000
PRV51110,3893.0,1,1068.0,7000
PRV51110,5185.0,1,1068.0,9000
PRV51110,8604.0,1,1068.0,3000
PRV51110,9904.0,1,1068.0,4000
PRV51113,554.0,1,0.0,800
PRV51118,576.0,1,1068.0,9000
PRV51118,3327.0,1,0.0,21000
PRV51118,3722.0,1,1068.0,9000
PRV51118,3772.0,1,1068.0,11000
PRV51118,3893.0,1,1068.0,5000
PRV51118,4019.0,1,1068.0,9000
PRV51118,4254.0,1,0.0,21000
PRV51118,4341.0,1,1068.0,7000
PRV51118,4543.0,1,0.0,22000
PRV51118,8154.0,1,1068.0,10000
PRV51118,8604.0,1,1068.0,4000
PRV51118,8965.0,1,1068.0,9000
PRV51118,9339.0,1,1068.0,2000
PRV51118,9465.0,1,1068.0,3000
PRV51119,17.0,1,1068.0,19000
PRV51119,66.0,4,4272.0,55000
PRV51119,311.0,1,1068.0,7000
PRV51119,835.0,1,0.0,43000
PRV51119,881.0,1,1068.0,5000
PRV51119,2724.0,3,3204.0,59000
PRV51119,3491.0,1,1068.0,5000
PRV51119,3521.0,1,1068.0,38000
PRV51119,3612.0,1,1068.0,35000
PRV51119,3722.0,3,3204.0,18000
PRV51119,3723.0,1,1068.0,0
PRV51119,3772.0,2,2136.0,21000
PRV51119,3893.0,2,2136.0,17000
PRV51119,3895.0,1,1068.0,14000
PRV51119,3949.0,1,1068.0,9000
PRV51119,3950.0,1,1068.0,20000
PRV51119,3995.0,1,1068.0,7000
PRV51119,4019.0,6,6408.0,89000
PRV51119,4139.0,1,1068.0,35000
PRV51119,4264.0,1,1068.0,38000
PRV51119,4439.0,1,1068.0,5000
PRV51119,4513.0,1,1068.0,5000
PRV51119,4523.0,1,1068.0,4000
PRV51119,4945.0,1,1068.0,11000
PRV51119,5119.0,2,1933.0,213580
PRV51119,5305.0,1,1068.0,4000
PRV51119,5451.0,1,1068.0,11000
PRV51119,5459.0,1,1068.0,20000
PRV51119,5491.0,1,1068.0,4000
PRV51119,5794.0,2,2136.0,11000
PRV51119,5849.0,1,0.0,43000
PRV51119,6141.0,1,1068.0,4000
PRV51119,6839.0,1,1068.0,6000
PRV51119,6859.0,1,1068.0,4000
PRV51119,7869.0,1,1068.0,6000
PRV51119,7932.0,1,1068.0,5000
PRV51119,7971.0,1,1068.0,7000
PRV51119,7999.0,1,1068.0,0
PRV51119,8108.0,1,1068.0,30000
PRV51119,8154.0,3,2136.0,47000
PRV51119,8622.0,1,0.0,20000
PRV51119,8670.0,1,0.0,43000
PRV51119,8741.0,1,1068.0,4000
PRV51119,9339.0,1,1068.0,18000
PRV51119,9390.0,1,1068.0,7000
PRV51119,9607.0,1,1068.0,0
PRV51119,9672.0,4,4069.0,257580
PRV51119,9904.0,3,3204.0,24000
PRV51119,9907.0,2,2136.0,11000
PRV51119,9921.0,1,1068.0,3000
PRV51119,9929.0,1,1068.0,5000
PRV51120,66.0,1,1068.0,15000
PRV51120,3995.0,1,1068.0,10000
PRV51120,4019.0,1,1068.0,10000
PRV51120,4516.0,1,1068.0,3000
PRV51120,4575.0,1,1068.0,10000
PRV51121,3611.0,1,1068.0,45000
PRV51121,4525.0,1,1068.0,7000
PRV51121,7915.0,1,1068.0,18000
PRV51121,8332.0,1,1068.0,4000
PRV51121,9462.0,1,1068.0,3000
PRV51123,8801.0,1,1068.0,4000
PRV51125,139.0,1,1068.0,30000
PRV51125,311.0,1,1068.0,30000
PRV51125,3481.0,1,1068.0,8000
PRV51125,4019.0,1,1068.0,18000
PRV51125,4579.0,1,1068.0,14000
PRV51125,7855.0,1,1068.0,8000
PRV51125,8107.0,1,1068.0,18000
PRV51125,8703.0,1,1068.0,8000
PRV51125,8872.0,1,1068.0,4000
PRV51125,9671.0,1,1068.0,10000
PRV51126,3491.0,1,1068.0,8000
PRV51126,3893.0,1,1068.0,2000
PRV51126,4019.0,1,1068.0,9000
PRV51126,4513.0,1,1068.0,5000
PRV51126,4516.0,3,3204.0,26000
PRV51126,4573.0,1,1068.0,20000
PRV51126,5491.0,1,1068.0,9000
PRV51126,5569.0,1,1068.0,25000
PRV51126,5794.0,1,1068.0,10000
PRV51126,7935.0,1,1068.0,8000
PRV51126,9227.0,1,1068.0,8000
PRV51126,9229.0,1,1068.0,0
PRV51128,66.0,1,1068.0,19000
PRV51128,3512.0,1,1068.0,29000
PRV51128,4673.0,1,1068.0,27000
PRV51132,9955.0,1,1068.0,4000
PRV51136,3806.0,1,1068.0,20000
PRV51136,4019.0,1,1068.0,20000
PRV51137,331.0,1,1068.0,6000
PRV51138,3893.0,1,1068.0,6000
PRV51139,8151.0,1,1068.0,14000
PRV51140,2724.0,1,1068.0,16000
PRV51140,3842.0,1,1068.0,7000
PRV51140,3893.0,2,2136.0,19000
PRV51140,3950.0,1,1068.0,16000
PRV51140,3995.0,2,2136.0,23000
PRV51140,4011.0,1,1068.0,15000
PRV51140,4019.0,3,3204.0,33000
PRV51140,4443.0,1,1068.0,4000
PRV51140,4516.0,2,2136.0,9000
PRV51140,4524.0,1,1068.0,3000
PRV51140,5110.0,1,1068.0,7000
PRV51140,5123.0,1,1068.0,10000
PRV51140,6849.0,1,1068.0,5000
PRV51140,6859.0,1,1068.0,6000
PRV51140,8151.0,1,1068.0,15000
PRV51140,8154.0,1,1068.0,10000
PRV51140,9229.0,1,1068.0,5000
PRV51140,9339.0,2,2136.0,21000
PRV51140,9671.0,1,1068.0,12000
PRV51142,412.0,1,1068.0,4000
PRV51142,3766.0,1,1068.0,57000
PRV51142,4019.0,1,1068.0,9000
PRV51142,5849.0,1,1068.0,57000
PRV51142,8659.0,1,1068.0,9000
PRV51142,8872.0,1,1068.0,4000
PRV51144,3893.0,1,1068.0,10000
PRV51144,8107.0,1,1068.0,33000
PRV51144,9962.0,1,1068.0,3000
PRV51145,66.0,6,6408.0,80000
PRV51145,131.0,1,1068.0,37000
PRV51145,234.0,1,1068.0,7000
PRV51145,311.0,1,1068.0,400
PRV51145,346.0,1,1068.0,0
PRV51145,966.0,1,1068.0,8000
PRV51145,2631.0,1,1068.0,12000
PRV51145,2724.0,6,5340.0,92000
PRV51145,2761.0,1,1068.0,8000
PRV51145,2762.0,2,2136.0,30000
PRV51145,3324.0,1,1068.0,0
PRV51145,3422.0,1,1068.0,6000
PRV51145,3572.0,2,2136.0,22000
PRV51145,3611.0,1,1068.0,21000
PRV51145,3613.0,2,2136.0,59000
PRV51145,3615.0,1,1068.0,29000
PRV51145,3722.0,2,1068.0,23000
PRV51145,3723.0,1,1068.0,6000
PRV51145,3726.0,1,1068.0,9000
PRV51145,3732.0,1,1068.0,27000
PRV51145,3772.0,2,2136.0,39000
PRV51145,3812.0,1,1068.0,5000
PRV51145,3893.0,4,3204.0,16000
PRV51145,3979.0,1,1068.0,44000
PRV51145,3995.0,2,2136.0,19000
PRV51145,4019.0,9,8544.0,139000
PRV51145,4023.0,1,1068.0,4000
PRV51145,4223.0,1,1068.0,10000
PRV51145,4254.0,1,1068.0,10000
PRV51145,4438.0,1,1068.0,16000
PRV51145,4439.0,1,1068.0,11000
PRV51145,4443.0,1,1068.0,11000
PRV51145,4495.0,1,0.0,14000
PRV51145,4513.0,2,2136.0,14400
PRV51145,4516.0,3,3204.0,31000
PRV51145,4542.0,2,2136.0,7000
PRV51145,4573.0,1,1068.0,5000
PRV51145,4576.0,1,1068.0,28000
PRV51145,4652.0,1,1068.0,19000
PRV51145,5110.0,1,1068.0,42000
PRV51145,5185.0,1,1068.0,5000
PRV51145,5749.0,1,1068.0,4000
PRV51145,5789.0,1,1068.0,44000
PRV51145,5794.0,2,2136.0,13000
PRV51145,5849.0,2,2136.0,10000
PRV51145,6823.0,1,1068.0,16000
PRV51145,7745.0,1,1068.0,20000
PRV51145,7843.0,1,1068.0,10000
PRV51145,7904.0,2,1068.0,37000
PRV51145,7915.0,1,1068.0,17000
PRV51145,7925.0,1,1068.0,10000
PRV51145,7936.0,1,1068.0,6000
PRV51145,7994.0,1,1068.0,14000
PRV51145,8051.0,1,1068.0,9000
PRV51145,8151.0,2,2136.0,11000
PRV51145,8154.0,6,6408.0,63000
PRV51145,8166.0,1,1068.0,13000
PRV51145,8180.0,1,1068.0,10000
PRV51145,8181.0,1,1068.0,13000
PRV51145,8192.0,1,1068.0,4000
PRV51145,8543.0,1,1068.0,6000
PRV51145,8622.0,1,1068.0,19000
PRV51145,8703.0,1,1068.0,6000
PRV51145,8872.0,3,2136.0,29000
PRV51145,8876.0,1,1068.0,12000
PRV51145,8877.0,1,1068.0,0
PRV51145,8944.0,2,2136.0,7000
PRV51145,9390.0,2,2136.0,16000
PRV51145,9425.0,1,1068.0,6000
PRV51145,9462.0,1,1068.0,4000
PRV51145,9604.0,2,2136.0,18000
PRV51145,9672.0,2,2136.0,50000
PRV51145,9702.0,1,1068.0,5000
PRV51145,9904.0,5,5340.0,30000
PRV51145,9914.0,1,1068.0,4000
PRV51145,9915.0,1,1068.0,10000
PRV51145,9919.0,1,1068.0,0
PRV51145,9921.0,1,1068.0,3000
PRV51145,9928.0,1,1068.0,6000
PRV51145,9971.0,1,1068.0,21000
PRV51146,66.0,3,3204.0,43000
PRV51146,70.0,1,1068.0,21000
PRV51146,81.0,1,1068.0,20000
PRV51146,159.0,1,1068.0,41000
PRV51146,311.0,1,1068.0,7000
PRV51146,412.0,1,1068.0,6000
PRV51146,598.0,1,1068.0,7000
PRV51146,623.0,1,1068.0,10000
PRV51146,639.0,1,1068.0,26000
PRV51146,920.0,1,1068.0,3000
PRV51146,1629.0,1,1068.0,2000
PRV51146,2724.0,7,7476.0,78000
PRV51146,3485.0,1,1068.0,41000
PRV51146,3613.0,1,1068.0,17000
PRV51146,3721.0,1,1068.0,7000
PRV51146,3722.0,6,6408.0,57000
PRV51146,3772.0,1,1068.0,36000
PRV51146,3783.0,1,1068.0,16000
PRV51146,3863.0,1,1068.0,17000
PRV51146,3893.0,1,0.0,39000
PRV51146,3895.0,1,1068.0,10000
PRV51146,3898.0,1,1068.0,3000
PRV51146,3927.0,1,1068.0,11000
PRV51146,3956.0,1,1068.0,0
PRV51146,3995.0,1,1068.0,12000
PRV51146,4019.0,4,4272.0,48000
PRV51146,4139.0,1,1068.0,17000
PRV51146,4311.0,1,1068.0,12000
PRV51146,4513.0,1,1068.0,8000
PRV51146,4516.0,2,2136.0,17000
PRV51146,4523.0,2,2136.0,6000
PRV51146,4525.0,2,2136.0,28000
PRV51146,4542.0,1,1068.0,4000
PRV51146,4573.0,1,1068.0,57000
PRV51146,4576.0,2,2136.0,22000
PRV51146,5122.0,1,1068.0,11000
PRV51146,5123.0,2,2136.0,10000
PRV51146,5304.0,1,1068.0,7000
PRV51146,5459.0,1,1068.0,12000
PRV51146,5491.0,1,1068.0,6000
PRV51146,5789.0,1,1068.0,10000
PRV51146,5799.0,1,1068.0,3000
PRV51146,5849.0,2,2136.0,56000
PRV51146,6069.0,1,1068.0,10000
PRV51146,6839.0,1,1068.0,0
PRV51146,7092.0,1,1068.0,6000
PRV51146,7781.0,1,1068.0,11000
