Physician,ClmProcedureCode,Count,TotalDeductibleAmtPaid,TotalInscClaimAmtReimbursed
PHY311510,2724.0,1,1068.0,25000
PHY311510,3812.0,1,1068.0,7000
PHY311510,3971.0,1,1068.0,25000
PHY311510,4019.0,1,1068.0,7000
PHY311523,3950.0,1,1068.0,21000
PHY311523,3995.0,1,1068.0,6000
PHY311523,4019.0,1,1068.0,6000
PHY311523,4513.0,1,1068.0,6000
PHY311523,8180.0,1,1068.0,12000
PHY311523,9671.0,1,1068.0,12000
PHY311523,9904.0,1,1068.0,12000
PHY311527,309.0,2,2136.0,18000
PHY311527,2101.0,1,1068.0,8000
PHY311527,2762.0,2,2136.0,18000
PHY311527,3893.0,2,2136.0,18000
PHY311527,4516.0,2,2136.0,8000
PHY311527,7857.0,2,2136.0,12000
PHY311535,3812.0,1,1068.0,5000
PHY311554,7936.0,2,2136.0,20000
PHY311554,9427.0,1,1068.0,16000
PHY311562,8181.0,1,1068.0,11000
PHY311565,8151.0,1,1068.0,15000
PHY311565,8154.0,1,1068.0,13000
PHY311565,8872.0,1,1068.0,4000
PHY311588,3893.0,1,1068.0,4000
PHY311591,66.0,1,1068.0,83000
PHY311591,570.0,1,1068.0,83000
PHY311608,4523.0,1,1068.0,9000
PHY311608,4701.0,1,1068.0,700
PHY311608,9638.0,1,1068.0,8000
PHY311622,3491.0,1,1068.0,9000
PHY311622,3522.0,1,1068.0,57000
PHY311622,5185.0,1,1068.0,57000
PHY311624,3722.0,1,1068.0,6000
PHY311624,3893.0,1,1068.0,4000
PHY311624,3995.0,1,1068.0,9000
PHY311624,4019.0,1,1068.0,9000
PHY311624,4523.0,1,1068.0,3000
PHY311626,66.0,1,1068.0,9000
PHY311630,605.0,1,1068.0,7000
PHY311630,8166.0,1,1068.0,6000
PHY311630,9738.0,1,1068.0,7000
PHY311637,9961.0,1,1068.0,4000
PHY311638,4443.0,1,1068.0,5000
PHY311638,5303.0,1,1068.0,5000
PHY311644,8375.0,1,1068.0,0
PHY311651,4516.0,1,0.0,750
PHY311652,3722.0,1,1068.0,8000
PHY311652,3929.0,1,1068.0,16000
PHY311652,5794.0,1,1068.0,8000
PHY311652,8151.0,1,1068.0,9000
PHY311655,4533.0,1,0.0,14000
PHY311668,7936.0,1,1068.0,8000
PHY311678,4516.0,1,1068.0,6000
PHY311680,9702.0,1,1068.0,9000
PHY311690,8151.0,1,1068.0,10000
PHY311695,3995.0,1,1068.0,3000
PHY311698,3572.0,1,1068.0,26000
PHY311698,3929.0,1,1068.0,26000
PHY311698,3950.0,1,1068.0,14000
PHY311698,4516.0,1,1068.0,2000
PHY311698,8154.0,1,1068.0,14000
PHY311710,66.0,1,1068.0,17000
PHY311717,3613.0,1,1068.0,20000
PHY311717,4660.0,1,1068.0,20000
PHY311737,8659.0,1,1068.0,11000
PHY311737,9396.0,1,1068.0,7000
PHY311752,7765.0,1,1068.0,16000
PHY311753,66.0,1,1068.0,10000
PHY311753,2724.0,1,1068.0,10000
PHY311753,4414.0,1,1068.0,10000
PHY311755,496.0,1,1068.0,8000
PHY311755,3327.0,1,1068.0,8000
PHY311755,3491.0,1,1068.0,4000
PHY311755,7919.0,1,1068.0,5000
PHY311755,9390.0,2,2136.0,15400
PHY311755,9604.0,1,1068.0,5000
PHY311763,9604.0,1,1068.0,38000
PHY311764,3812.0,2,2136.0,10000
PHY311768,3326.0,2,2136.0,10000
PHY311769,66.0,1,1068.0,0
PHY311769,8051.0,1,1068.0,4000
PHY311769,9702.0,1,1068.0,31000
PHY311770,2819.0,1,1068.0,6000
PHY311770,3722.0,1,1068.0,11000
PHY311770,9627.0,1,1068.0,6000
PHY311772,2724.0,1,1068.0,16000
PHY311772,3761.0,1,1068.0,16000
PHY311772,4019.0,1,1068.0,11000
PHY311772,9904.0,1,1068.0,11000
PHY311773,6841.0,1,1068.0,4000
PHY311778,3893.0,1,1068.0,8000
PHY311778,4019.0,1,1068.0,8000
PHY311778,4513.0,2,2136.0,15000
PHY311778,4516.0,1,1068.0,3000
PHY311783,8154.0,1,1068.0,12000
PHY311786,9444.0,1,1068.0,8000
PHY311791,4019.0,1,1068.0,14000
PHY311791,8102.0,1,1068.0,14000
PHY311800,331.0,2,2136.0,22000
PHY311800,3995.0,1,1068.0,6000
PHY311800,7109.0,1,1068.0,5000
PHY311800,7932.0,1,1068.0,5000
PHY311800,9604.0,1,1068.0,10000
PHY311808,7051.0,1,1068.0,4000
PHY311808,9982.0,1,1068.0,4000
PHY311819,66.0,1,1068.0,23000
PHY311819,4574.0,1,1068.0,32000
PHY311821,122.0,1,1068.0,58000
PHY311821,331.0,1,1068.0,4000
PHY311832,2752.0,1,1068.0,12000
PHY311832,3772.0,1,1068.0,12000
PHY311832,5551.0,1,1068.0,14000
PHY311832,8151.0,1,1068.0,16000
PHY311834,3812.0,1,1068.0,5000
PHY311835,7935.0,1,1068.0,10000
PHY311843,392.0,1,1068.0,5000
PHY311859,159.0,1,1068.0,17000
PHY311860,8154.0,1,1068.0,14000
PHY311860,9649.0,1,1068.0,6000
PHY311868,7749.0,1,1068.0,0
PHY311868,7855.0,1,1068.0,16000
PHY311868,9919.0,1,1068.0,3000
PHY311885,920.0,1,1068.0,10000
PHY311885,7915.0,1,1068.0,10000
PHY311891,8154.0,1,1068.0,4000
PHY311893,4542.0,1,1068.0,5000
PHY311900,8154.0,1,1068.0,15000
PHY311916,4562.0,1,1068.0,15000
PHY311933,4513.0,1,1068.0,14000
PHY311942,3818.0,1,1068.0,21000
PHY311942,5902.0,1,1068.0,21000
PHY311963,5421.0,1,1068.0,27000
PHY311965,8891.0,1,1068.0,6000
PHY311976,6869.0,1,1068.0,6000
PHY311979,9904.0,1,1068.0,3000
PHY311982,598.0,1,1068.0,4000
PHY311986,2724.0,2,2136.0,38000
PHY311986,8108.0,2,2136.0,38000
PHY311987,8151.0,1,1068.0,13000
PHY311999,570.0,1,1068.0,57000
PHY311999,8417.0,1,1068.0,57000
PHY311999,9974.0,1,1068.0,57000
PHY312004,3422.0,2,2136.0,70000
PHY312008,5362.0,1,1068.0,9000
PHY312009,3611.0,1,1068.0,25000
PHY312009,4019.0,1,1068.0,25000
PHY312011,9904.0,1,1068.0,3000
PHY312014,722.0,1,1068.0,11000
PHY312014,3893.0,1,1068.0,4000
PHY312014,3929.0,1,0.0,29000
PHY312014,4852.0,1,1068.0,11000
PHY312014,7915.0,1,1068.0,7000
PHY312014,7935.0,1,1068.0,14000
PHY312014,9672.0,1,1068.0,7000
PHY312015,9955.0,1,80.0,200
PHY312027,4443.0,1,1068.0,15000
PHY312039,7915.0,1,1068.0,16000
PHY312045,309.0,2,2136.0,22000
PHY312045,331.0,2,2136.0,40000
PHY312045,2724.0,1,1068.0,12000
PHY312045,3324.0,1,1068.0,12000
PHY312045,3512.0,1,1068.0,57000
PHY312045,4019.0,1,1068.0,11000
PHY312045,4281.0,2,2136.0,22000
PHY312045,5589.0,1,1068.0,11000
PHY312045,5749.0,1,1068.0,11000
PHY312045,7962.0,1,1068.0,57000
PHY312045,8944.0,2,2136.0,10000
PHY312045,9671.0,1,1068.0,9000
PHY312045,9904.0,3,3204.0,22000
PHY312051,8669.0,1,1068.0,7000
PHY312068,5551.0,1,1068.0,18000
PHY312070,185.0,1,1068.0,8000
PHY312070,4019.0,1,1068.0,8000
PHY312070,6029.0,1,1068.0,8000
PHY312071,81.0,1,1068.0,14000
PHY312071,544.0,1,1068.0,13000
PHY312071,605.0,1,1068.0,11000
PHY312071,2762.0,2,2136.0,54000
PHY312071,3613.0,1,1068.0,24000
PHY312071,3712.0,1,1068.0,35000
PHY312071,3893.0,1,1068.0,9000
PHY312071,4019.0,3,3204.0,39000
PHY312071,4251.0,1,1068.0,3000
PHY312071,4821.0,2,2136.0,54000
PHY312071,5369.0,1,1068.0,7000
PHY312071,8151.0,1,1068.0,11000
PHY312071,8154.0,1,1068.0,20000
PHY312071,8872.0,2,2136.0,9000
PHY312071,8944.0,1,1068.0,3000
PHY312071,9672.0,2,2136.0,54000
PHY312071,9907.0,1,1068.0,8000
PHY312071,9955.0,1,1068.0,10000
PHY312075,2752.0,1,1068.0,14000
PHY312075,3995.0,1,0.0,5000
PHY312075,7935.0,1,1068.0,14000
PHY312090,864.0,2,2136.0,0
PHY312090,9904.0,2,2136.0,22000
PHY312104,61.0,1,1068.0,9000
PHY312104,2724.0,1,1068.0,9000
PHY312104,3995.0,3,3204.0,29000
PHY312104,4019.0,1,1068.0,9000
PHY312104,4516.0,1,1068.0,8000
PHY312104,8151.0,1,1068.0,17000
PHY312104,8674.0,1,1068.0,20000
PHY312106,5493.0,1,1068.0,57000
PHY312106,5503.0,1,1068.0,20000
PHY312120,9904.0,1,1068.0,10000
PHY312157,3893.0,1,1068.0,6000
PHY312157,4516.0,2,2136.0,14000
PHY312181,8151.0,1,1068.0,10000
PHY312185,3925.0,1,1068.0,25000
PHY312185,4513.0,1,1068.0,3000
PHY312185,4516.0,1,1068.0,9000
PHY312185,5459.0,1,1068.0,17000
PHY312185,8084.0,1,1068.0,6000
PHY312185,9339.0,1,1068.0,5000
PHY312189,4019.0,1,1068.0,21000
PHY312189,8154.0,1,1068.0,21000
PHY312191,66.0,1,1068.0,12000
PHY312191,4019.0,1,1068.0,12000
PHY312195,9671.0,1,1068.0,20000
PHY312200,8154.0,1,1068.0,6000
PHY312208,52.0,1,1068.0,34000
PHY312208,131.0,1,1068.0,14000
PHY312208,3995.0,1,1068.0,10000
PHY312208,6029.0,1,1068.0,4000
PHY312208,8154.0,1,1068.0,11000
PHY312208,9462.0,1,1068.0,4000
PHY312209,2752.0,1,1068.0,11000
PHY312209,8849.0,1,1068.0,11000
PHY312214,66.0,1,1068.0,12000
PHY312214,4139.0,1,1068.0,12000
PHY312223,7812.0,1,1068.0,0
PHY312223,8102.0,1,1068.0,0
PHY312234,8102.0,1,1068.0,57000
PHY312240,7935.0,1,1068.0,11000
PHY312248,1122.0,2,2136.0,34000
PHY312248,3893.0,2,2136.0,34000
PHY312248,8152.0,1,1068.0,22000
PHY312257,9427.0,1,1068.0,20000
PHY312264,5849.0,1,1068.0,9000
PHY312264,9904.0,1,1068.0,9000
PHY312280,3995.0,1,1068.0,6000
PHY312280,8192.0,1,1068.0,3000
PHY312286,5361.0,1,1068.0,8000
PHY312289,66.0,1,1068.0,14000
PHY312289,639.0,1,1068.0,7000
PHY312289,920.0,1,1068.0,14000
PHY312289,3818.0,1,1068.0,12000
PHY312289,5363.0,1,1068.0,14000
PHY312289,5979.0,1,1068.0,6000
PHY312289,8154.0,3,3204.0,31000
PHY312290,4525.0,1,1068.0,4000
PHY312292,51.0,1,1068.0,43000
PHY312292,66.0,3,3204.0,36000
PHY312292,605.0,2,2136.0,18000
PHY312292,1629.0,1,1068.0,14000
PHY312292,2724.0,2,2136.0,20000
PHY312292,2764.0,1,1068.0,10000
PHY312292,3425.0,1,1068.0,4000
PHY312292,3485.0,1,1068.0,53000
PHY312292,3491.0,1,0.0,6000
PHY312292,3613.0,1,1068.0,20000
PHY312292,3722.0,2,2136.0,22000
PHY312292,3893.0,3,3204.0,19000
PHY312292,3972.0,1,1068.0,53000
PHY312292,3995.0,1,1068.0,7000
PHY312292,4019.0,1,1068.0,15000
PHY312292,4233.0,2,2136.0,19000
PHY312292,4311.0,1,1068.0,20000
PHY312292,4439.0,1,1068.0,24000
PHY312292,4516.0,3,3204.0,19000
PHY312292,4523.0,1,1068.0,5000
PHY312292,4601.0,1,1068.0,19000
PHY312292,4610.0,1,1068.0,14000
PHY312292,5123.0,2,2136.0,15000
PHY312292,5419.0,1,1068.0,14000
PHY312292,5491.0,1,1068.0,16000
PHY312292,7802.0,1,1068.0,5000
PHY312292,7935.0,1,1068.0,10000
PHY312292,8108.0,1,1068.0,31000
PHY312292,8151.0,1,1068.0,9000
PHY312292,8154.0,1,1068.0,13000
PHY312292,8541.0,1,1068.0,4000
PHY312292,8607.0,1,1068.0,5000
PHY312292,8628.0,1,1068.0,6000
PHY312292,8872.0,1,1068.0,4000
PHY312292,9672.0,1,1068.0,38000
PHY312292,9904.0,5,5340.0,23000
PHY312296,4875.0,1,1068.0,19000
PHY312296,5679.0,1,1068.0,19000
PHY312304,3950.0,1,1068.0,21000
PHY312314,8364.0,1,1068.0,4000
PHY312323,2724.0,1,1068.0,17000
PHY312323,3572.0,1,1068.0,39000
PHY312323,3611.0,1,1068.0,39000
PHY312323,3722.0,4,4272.0,52000
PHY312323,3952.0,1,1068.0,17000
PHY312323,4019.0,2,2136.0,22000
PHY312323,4263.0,2,2136.0,16000
PHY312323,4525.0,1,1068.0,5000
PHY312323,8051.0,1,1068.0,5000
PHY312323,9904.0,1,1068.0,5000
PHY312336,7786.0,1,1068.0,5000
PHY312336,8154.0,1,1068.0,12000
PHY312337,3995.0,1,1068.0,11000
PHY312348,3220.0,1,1068.0,46000
PHY312348,4513.0,1,1068.0,11000
PHY312348,8954.0,1,1068.0,7000
PHY312348,9339.0,1,1068.0,8000
PHY312358,66.0,1,1068.0,34000
PHY312362,3611.0,1,1068.0,27000
PHY312362,4019.0,1,1068.0,27000
PHY312365,7936.0,1,1068.0,19000
PHY312392,66.0,1,1068.0,27000
PHY312392,4019.0,1,1068.0,27000
PHY312407,311.0,1,1068.0,0
PHY312407,397.0,1,1068.0,30000
PHY312407,3721.0,1,1068.0,5000
PHY312407,3893.0,1,1068.0,16000
PHY312407,4019.0,2,2136.0,5000
PHY312407,5491.0,1,1068.0,10000
PHY312407,5849.0,1,1068.0,10000
PHY312407,6021.0,1,1068.0,11000
PHY312407,8102.0,1,1068.0,0
PHY312407,9339.0,1,1068.0,16000
PHY312410,4576.0,1,1068.0,10000
PHY312412,4233.0,1,1068.0,12000
PHY312418,9339.0,1,1068.0,16000
PHY312420,309.0,2,2136.0,16000
PHY312420,3722.0,2,2136.0,30000
PHY312420,4019.0,2,2136.0,16000
PHY312420,5503.0,2,2136.0,36000
PHY312420,8151.0,1,1068.0,25000
PHY312420,9904.0,1,1068.0,9000
PHY312430,3491.0,1,1068.0,6000
PHY312430,3723.0,1,1068.0,9000
PHY312430,3899.0,2,2136.0,10000
PHY312430,3929.0,2,2136.0,24000
PHY312430,4019.0,3,3204.0,30000
PHY312430,4513.0,1,1068.0,6000
PHY312430,8543.0,2,2136.0,10000
PHY312430,8891.0,1,1068.0,6000
PHY312430,9396.0,1,1068.0,8000
PHY312440,8604.0,1,1068.0,6000
PHY312443,353.0,1,1068.0,19000
PHY312495,66.0,2,2136.0,16000
PHY312495,4019.0,2,2136.0,16000
PHY312495,4059.0,2,2136.0,22000
PHY312495,5491.0,2,2136.0,18000
PHY312495,8877.0,2,2136.0,38000
PHY312495,8891.0,2,2136.0,12000
PHY312495,9904.0,4,4272.0,10000
PHY312499,8954.0,1,1068.0,4000
PHY312520,9904.0,1,1068.0,9000
PHY312533,4523.0,1,1068.0,4000
PHY312533,8154.0,1,1068.0,10000
PHY312545,4019.0,1,1068.0,10000
PHY312545,4682.0,2,2136.0,28000
PHY312545,8151.0,1,1068.0,10000
PHY312545,9301.0,1,1068.0,3000
PHY312562,309.0,2,2136.0,8000
PHY312572,9904.0,1,1068.0,9000
PHY312578,3613.0,1,1068.0,0
PHY312578,4139.0,1,1068.0,0
PHY312578,8154.0,1,1068.0,14000
PHY312579,3324.0,1,1068.0,9000
PHY312584,8415.0,1,1068.0,16000
PHY312587,3818.0,1,1068.0,15000
PHY312598,7915.0,1,1068.0,15000
PHY312600,3893.0,1,1068.0,7000
PHY312600,8891.0,1,1068.0,6000
PHY312613,4131.0,1,1068.0,5000
PHY312617,9444.0,1,1068.0,14000
PHY312626,2724.0,1,1068.0,5000
PHY312626,3722.0,1,1068.0,5000
PHY312626,8152.0,1,1068.0,12000
PHY312630,3943.0,1,1068.0,17000
PHY312630,4525.0,1,1068.0,4000
PHY312631,966.0,2,0.0,20000
PHY312631,3613.0,2,2136.0,22000
PHY312631,4019.0,2,0.0,20000
PHY312631,7935.0,2,2136.0,10000
PHY312631,8181.0,1,1068.0,24000
PHY312632,3324.0,1,1068.0,9000
PHY312637,3322.0,1,1068.0,5000
PHY312648,66.0,3,3204.0,23000
PHY312648,309.0,1,1068.0,5000
PHY312648,311.0,2,2136.0,13000
PHY312648,331.0,1,1068.0,14000
PHY312648,496.0,1,1068.0,6000
PHY312648,691.0,1,1068.0,86000
PHY312648,2724.0,4,4272.0,86000
PHY312648,3129.0,1,1068.0,14000
PHY312648,3404.0,1,1068.0,8000
PHY312648,3491.0,2,2136.0,12000
PHY312648,3613.0,2,2136.0,76000
PHY312648,3722.0,2,2136.0,13000
PHY312648,3772.0,1,1068.0,19000
PHY312648,3812.0,1,1068.0,5000
PHY312648,3950.0,1,0.0,15000
PHY312648,3995.0,1,1068.0,15000
PHY312648,4019.0,7,7476.0,53000
PHY312648,4443.0,1,1068.0,11000
PHY312648,4513.0,3,3204.0,15000
PHY312648,4516.0,2,2136.0,12000
PHY312648,4525.0,1,1068.0,3000
PHY312648,5185.0,1,1068.0,86000
PHY312648,5363.0,1,1068.0,4000
PHY312648,5491.0,1,1068.0,4000
PHY312648,6849.0,1,1068.0,6000
PHY312648,7931.0,1,1068.0,17000
PHY312648,8016.0,1,1068.0,5000
PHY312648,8152.0,2,2136.0,38000
PHY312648,8154.0,1,1068.0,14000
PHY312648,8801.0,1,1068.0,0
PHY312648,8872.0,3,3204.0,16000
PHY312648,8914.0,2,2136.0,10000
PHY312648,9339.0,1,1068.0,19000
PHY312648,9462.0,1,1068.0,3000
PHY312648,9671.0,1,0.0,20000
PHY312648,9672.0,2,2136.0,42000
PHY312648,9904.0,2,2136.0,12000
PHY312648,9910.0,1,1068.0,4000
PHY312648,9961.0,1,0.0,15000
PHY312650,544.0,1,1068.0,0
PHY312652,9904.0,1,1068.0,12000
PHY312659,9904.0,1,1068.0,0
PHY312677,8607.0,1,1068.0,9000
PHY312690,3722.0,1,1068.0,7000
PHY312694,8154.0,1,1068.0,10000
PHY312702,9904.0,1,1068.0,8000
PHY312708,331.0,2,2136.0,28000
PHY312708,5849.0,2,2136.0,28000
PHY312708,8154.0,1,1068.0,0
PHY312708,9394.0,1,1068.0,3000
PHY312709,3893.0,1,1068.0,6000
PHY312709,9929.0,1,1068.0,12000
PHY312715,8856.0,1,1068.0,5000
PHY312720,9929.0,1,1068.0,12000
PHY312721,80.0,1,1068.0,20000
PHY312721,4438.0,1,1068.0,12000
PHY312721,5110.0,1,1068.0,5000
PHY312725,311.0,1,1068.0,57000
PHY312725,7837.0,1,1068.0,57000
PHY312728,3995.0,2,2136.0,30000
PHY312729,66.0,1,1068.0,10000
PHY312729,387.0,1,1068.0,16000
PHY312729,2724.0,3,3204.0,24000
PHY312729,2752.0,1,1068.0,8000
PHY312729,3612.0,1,1068.0,33000
PHY312729,3734.0,2,2136.0,32000
PHY312729,3812.0,1,1068.0,6000
PHY312729,3995.0,2,2136.0,15000
PHY312729,4019.0,3,3204.0,37000
PHY312729,4439.0,2,2136.0,30000
PHY312729,4516.0,1,1068.0,14000
PHY312729,5459.0,1,1068.0,12000
PHY312729,5503.0,1,1068.0,10000
PHY312729,5849.0,1,1068.0,10000
PHY312729,6563.0,1,1068.0,12000
PHY312729,7935.0,1,1068.0,7000
PHY312729,8154.0,1,1068.0,9000
PHY312729,8165.0,1,1068.0,8000
PHY312729,8184.0,1,1068.0,12000
PHY312729,8192.0,1,1068.0,14000
PHY312729,8541.0,1,1068.0,4000
PHY312729,8628.0,2,2136.0,29000
PHY312729,8703.0,1,1068.0,8000
PHY312729,8949.0,1,1068.0,9000
PHY312729,9462.0,1,1068.0,800
PHY312729,9671.0,2,2136.0,35000
PHY312729,9904.0,1,1068.0,4000
PHY312765,4443.0,1,1068.0,14000
PHY312772,594.0,1,1068.0,4000
PHY312781,4583.0,1,1068.0,37000
PHY312781,5459.0,1,1068.0,29000
PHY312782,66.0,2,2136.0,16000
PHY312782,311.0,3,3204.0,171000
PHY312782,2724.0,5,5340.0,79000
PHY312782,3979.0,3,3204.0,63000
PHY312782,3995.0,2,2136.0,28000
PHY312782,4513.0,3,3204.0,33000
PHY312782,4516.0,2,2136.0,12000
PHY312782,4525.0,2,2136.0,40000
PHY312782,5789.0,3,3204.0,171000
PHY312782,5849.0,3,3204.0,93000
PHY312782,9671.0,2,2136.0,28000
PHY312782,9672.0,3,3204.0,93000
PHY312782,9971.0,2,2136.0,28000
PHY312784,3772.0,1,1068.0,15000
PHY312794,9952.0,1,1068.0,4000
PHY312795,4513.0,1,1068.0,7000
PHY312807,8154.0,1,1068.0,10000
PHY312818,3950.0,1,1068.0,15000
PHY312834,605.0,2,2136.0,24000
PHY312834,9672.0,2,0.0,66000
PHY312835,3723.0,1,1068.0,5000
PHY312835,4019.0,1,1068.0,5000
PHY312837,4443.0,1,1068.0,6000
PHY312839,496.0,1,1068.0,3000
PHY312839,4552.0,1,1068.0,3000
PHY312839,9904.0,1,1068.0,3000
PHY312866,4542.0,1,1068.0,4000
PHY312867,3995.0,1,1068.0,8000
PHY312870,9359.0,1,1068.0,800
PHY312882,3895.0,1,1068.0,10000
PHY312883,66.0,1,1068.0,0
PHY312883,311.0,1,1068.0,5000
PHY312883,2724.0,1,1068.0,0
PHY312883,2819.0,1,1068.0,0
PHY312883,8891.0,1,1068.0,5000
PHY312890,3722.0,1,1068.0,13000
PHY312890,4019.0,1,1068.0,15000
PHY312890,4573.0,1,1068.0,15000
PHY312890,8952.0,1,1068.0,12000
